frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
530,4.4073706,207.5926309,295.6880045,46.97402248,66.90822746,-1.556465146,0.226279817,-0.019390065,0.01810748,-1.26843437,0.679376669,-0.510244236,0.849648068,19.57349627
531,4.4126729,207.6585871,295.739651,46.98894703,66.91991401,-0.311293029,0.226279817,-0.004465513,0.006420931,-1.258262069,0.406774019,-0.476911351,0.626824967,31.76954152
532,4.4171352,207.6536757,295.7474585,46.98783568,66.9216807,-1.300783996,0.226279817,-0.005576865,0.004654241,-1.00164509,-0.038062547,-1.016076794,1.016789461,15.30466689
533,4.4220497,207.6331188,295.7430704,46.98318406,66.92068776,-1.533069397,0.226279817,-0.010228482,0.005647188,-0.702616616,-0.079665794,-1.212610404,1.215224519,17.4892376
534,4.4258432,207.6074946,295.7874979,46.97738583,66.93074082,-0.306613879,0.226279817,-0.016026711,-0.004405872,-0.89739344,-0.875295868,-0.706248678,1.124691092,33.72449173
535,4.4371156,207.5831328,295.8380641,46.97187324,66.94218291,-0.061322776,0.226279817,-0.021539299,-0.015847964,-0.688643727,-0.893094828,-0.751719433,1.167347625,19.12195871
536,4.4406818,207.5647972,295.8328986,46.96772426,66.94101407,-1.285177153,0.226279817,-0.025688283,-0.014679121,-0.392311265,-0.862472413,-1.170192854,1.453688405,5.292071652
537,4.4528353,207.5466406,295.8663744,46.96361579,66.94858896,-0.257035431,0.226279817,-0.029796755,-0.022254015,-0.580749851,-0.595986626,-0.578550961,0.830614996,15.43233945
538,4.4573742,207.530726,295.904292,46.96001464,66.95716894,-0.051407086,0.226279817,-0.033397903,-0.030834,-0.618437568,-0.604534388,-0.604771836,0.855108648,0.242174778
539,4.4690867,207.520579,295.8883426,46.95771858,66.95355992,-1.248806808,0.226279817,-0.035693966,-0.027224979,-0.625975111,-0.403639088,-0.577238385,0.704364015,-21.74777245
540,4.4735457,207.5101,295.9109284,46.9553474,66.95867064,-0.249761362,0.226279817,-0.038065142,-0.032335698,-0.882065139,-0.383480656,-0.039684359,0.385528549,-22.48606167
541,4.4849328,207.5021016,295.8875069,46.95353751,66.95337082,-1.32286487,0.226279817,-0.039875032,-0.027035878,-1.187865665,-0.231523677,0.457121148,0.512408974,-25.14109276
542,4.4884771,207.4983853,295.8551699,46.9526966,66.94605361,-1.537485572,0.226279817,-0.04071594,-0.019718665,-1.255903211,-0.199803514,0.730383609,0.757219691,-27.34322979
543,4.500587,207.4965865,295.8233964,46.95228957,66.9388639,-1.580409712,0.226279817,-0.041122974,-0.012528958,-1.517215798,-0.0929798,1.049332986,1.053444331,-11.78613777
544,4.5044813,207.4959423,295.7945789,46.95214379,66.9323431,-1.58899454,0.226279817,-0.041268755,-0.006008161,-1.562600875,-0.051438556,1.226250947,1.227329341,-3.107105101
545,4.5165435,207.4960673,295.7706662,46.95217208,66.92693214,-1.556324299,0.226279817,-0.041240461,-0.000597194,-1.31709537,-0.011181577,0.694468286,0.694558297,4.949858379
546,4.5199279,207.4967967,295.7504745,46.95233712,66.92236315,-1.54979025,0.226279817,-0.041075424,0.00397179,-1.261116828,0.01065568,0.683108231,0.683191334,12.45644596
547,4.5325309,207.4947932,295.7835811,46.95188377,66.92985452,-0.30995805,0.226279817,-0.041528772,-0.00351958,-0.9953386,0.013904159,0.226520914,0.22694724,14.95510021
548,4.5358626,207.4959059,295.7756759,46.95213556,66.92806572,-1.300517001,0.226279817,-0.04127698,-0.001730775,-0.942182954,0.03916324,0.271918423,0.274724204,-4.402506066
