frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
690,5.7195799,158.0693179,260.1471703,35.85522514,59.009778,0.038129004,-2.961870996,0.226832289,-0.005105282,-0.001381862,-2.878009238,-0.114242689,-0.034309005,0.119283276,-3.283767402
691,5.7229861,158.0698235,260.1435202,35.85533982,59.00895003,-0.002603691,-3.002603691,0.226832289,-0.004990595,-0.000553897,-2.894158977,-0.129085774,0.003726044,0.129139539,-1.156104166
692,5.7367227,158.0667227,260.1500692,35.85463645,59.01043556,0.218430678,-2.781569322,0.226832289,-0.005693964,-0.002039426,-2.919163827,-0.067177632,0.057368847,0.088340358,1.373942629
693,5.740545,158.0637159,260.1482732,35.85395441,59.01002818,0.033456643,-2.966543357,0.226832289,-0.006376005,-0.001632042,-2.878328615,-0.0331786,0.014210023,0.036093549,3.181837217
694,5.752513,158.0608241,260.1478929,35.85329847,59.00994191,0.116768233,-2.883231767,0.226832289,-0.007031946,-0.001545771,-2.870161573,-0.044311757,-0.023606478,0.050207545,-0.679704945
695,5.7558105,158.0620581,260.1504757,35.85357838,59.01052778,0.242305063,-2.757694937,0.226832289,-0.006752035,-0.002131641,-2.914364346,-0.054319457,0.096557048,0.110787485,-3.196379334
696,5.7676174,158.0609132,260.1476653,35.85331868,59.00989029,0.03823152,-2.96176848,0.226832289,-0.007011735,-0.00149415,-2.877368719,-0.010144371,0.053912199,0.054858303,-0.843947978
697,5.7713868,158.0592308,260.1394783,35.85293706,59.0080332,-0.002583188,-3.002583188,0.226832289,-0.007393358,0.000362934,-2.848194691,0.009341259,0.039695051,0.04077936,3.786384915
698,5.783391,158.0614767,260.145122,35.8534465,59.00931337,0.218434778,-2.781565222,0.226832289,-0.006883922,-0.000917233,-2.842359885,0.219276473,-0.005224074,0.219338694,2.767982313
699,5.7983171,158.0642812,260.1493252,35.85408265,59.01026681,0.262638372,-2.737361628,0.226832289,-0.006247768,-0.001870671,-2.841192924,0.243838826,-0.006251726,0.243918956,0.208661234
700,5.8020975,158.0831899,260.1560294,35.85837175,59.01178754,0.27147909,-2.72852091,0.226832289,-0.00195867,-0.0033914,-2.840959532,0.28500619,0.005306733,0.285055591,-0.532057081
701,5.8146131,158.0887525,260.1533338,35.85963352,59.01117609,0.044066326,-2.955933674,0.226832289,-0.000696895,-0.002779953,-2.862687756,0.261705534,0.017230493,0.262272142,-5.065845515
702,5.8183239,158.0904636,260.1443286,35.86002165,59.00913342,-0.001416227,-3.001416227,0.226832289,-0.000308767,-0.000737283,-2.912869582,0.205256398,0.056921252,0.213002859,-5.376004252
703,5.8298767,158.0866914,260.1467236,35.85916599,59.00967668,0.109793659,-2.890206341,0.226832289,-0.001164426,-0.001280547,-2.922905948,-0.025614871,0.129202786,0.131717431,-3.123429615
704,5.8342685,158.0820519,260.144118,35.85811361,59.00908565,0.01172924,-2.98827076,0.226832289,-0.002216813,-0.000689514,-2.900851942,0.18267575,0.126679753,0.222302023,1.497141094
705,5.8472978,158.0809149,260.146465,35.8578557,59.00961802,0.221297264,-2.778702736,0.226832289,-0.002474718,-0.001221879,-2.89644114,0.176436126,0.030371898,0.179031167,-0.049874674
706,5.8515047,158.1020998,260.1457929,35.86266111,59.00946556,0.154336357,-2.845663643,0.226832289,0.002330694,-0.001069422,-2.919620259,0.181987892,0.078717042,0.19828254,-1.140310598
707,5.8626029,158.1056908,260.1424205,35.86347568,59.0087006,0.020637779,-2.979362221,0.226832289,0.00314526,-0.000304459,-2.900194804,0.219153526,0.052355387,0.225320559,-2.66111294
708,5.8668383,158.1048262,260.1387851,35.86327955,59.00787596,-0.006101936,-3.006101936,0.226832289,0.002949134,0.000520179,-2.918084615,0.192557423,0.003118753,0.192582678,-1.68500629
709,5.8775451,158.1022869,260.1386544,35.86270356,59.00784632,0.108856517,-2.891143483,0.226832289,0.002373137,0.000549818,-2.945723857,-0.060126792,0.016961144,0.062473286,-2.741022637
710,5.8814442,158.0996608,260.1435885,35.86210787,59.00896553,0.131848208,-2.868151792,0.226832289,0.001777453,-0.000569388,-2.951251705,-0.102922081,0.042765216,0.111453212,-1.361951808
711,5.894201,158.0928473,260.137658,35.86056236,59.0076203,0.016140149,-2.983859851,0.226832289,0.000231944,0.000775837,-2.952357275,-0.116731893,0.030003038,0.120526002,-2.495336993
712,5.8982605,158.0903314,260.1341154,35.85999168,59.00681673,-0.007001462,-3.007001462,0.226832289,-0.000338742,0.001579403,-2.976639668,-0.170805822,0.055288958,0.179531328,-2.841841554
713,5.9100289,158.0843466,260.1273246,35.85863413,59.00527636,-0.011629785,-3.011629785,0.226832289,-0.001696289,0.003119774,-3.005557426,-0.161084767,0.116651964,0.19888686,-3.277943659
714,5.9141749,158.0784216,260.1249632,35.85729013,59.00474071,-0.012555449,-3.012555449,0.226832289,-0.003040286,0.003655428,-3.011340977,-0.198835631,0.159115374,0.254663131,0.011111263
715,5.9256738,158.0731409,260.1239608,35.8560923,59.00451334,-0.012740582,-3.012740582,0.226832289,-0.00423812,0.003882794,-2.966661506,-0.186393501,0.101002703,0.212000197,3.991566108
716,5.929153,158.0683874,260.1190868,35.85501407,59.00340776,-0.012777609,-3.012777609,0.226832289,-0.005316345,0.004988374,-2.933664332,-0.208657721,0.018957417,0.209517131,5.813607069
717,5.9420328,158.0639375,260.1243457,35.85400469,59.00460064,0.216395894,-2.783604106,0.226832289,-0.00632573,0.003795496,-2.881228716,-0.139611121,-0.045841694,0.146944636,9.907494006
718,5.9455166,158.0604561,260.1286359,35.85321499,59.00557379,0.153356083,-2.846643917,0.226832289,-0.007115426,0.002822345,-2.824905411,-0.08974747,-0.191324846,0.211328666,7.721727899
719,5.9575863,158.061577,260.139001,35.85346925,59.00792494,0.249622633,-2.750377367,0.226832289,-0.006861165,0.000471195,-2.789579471,-0.001918179,-0.279789712,0.279796287,4.940352626
720,5.9610288,158.0637799,260.1497405,35.85396893,59.010361,0.268875943,-2.731124057,0.226832289,-0.00636149,-0.001964865,-2.804289185,-0.001705549,-0.22489447,0.224900937,-0.527319955
721,5.9735045,158.0708881,260.156591,35.85558129,59.01191492,0.163852093,-2.836147907,0.226832289,-0.004749127,-0.003518785,-2.807231128,0.049206142,-0.16585377,0.172999183,-3.622833374
722,5.9770209,158.0696896,260.1537718,35.85530945,59.01127543,0.142847323,-2.857152677,0.226832289,-0.005020967,-0.002879292,-2.829594419,0.077098316,-0.180308672,0.196100401,-2.906033861
723,5.9893868,158.0712096,260.1529067,35.85565424,59.01107921,0.138646369,-2.861353631,0.226832289,-0.004676181,-0.002683076,-2.855841979,0.054866995,-0.038969343,0.067297822,-3.384613568
724,5.9925273,158.0734321,260.1566044,35.85615837,59.01191795,0.137806178,-2.862193822,0.226832289,-0.004172046,-0.003521817,-2.861091492,0.022179013,-0.012197009,0.025311572,-1.903627074
725,6.0056282,158.0753954,260.156659,35.8566037,59.01193035,0.13763814,-2.86236186,0.226832289,-0.003726718,-0.003534214,-2.886202673,-0.003486027,0.062701918,0.062798749,-1.298156123
