frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,y_mm_abs_2,angle_deg_raw,angle_deg_raw2,angle_deg,mm_per_px,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
447,3.7087208,119.4525943,265.233606,26.96281766,-59.86848084,59.86848084,0.183194291,-0.183194291,7.316805709,0.225719816,0.008840205,0.003823439,-0.003823439,7.312005492,0.269042723,-0.176876325,0.321977051,-3.936832711
448,3.7250129,119.4587659,265.238623,26.9642107,-59.86961329,59.86961329,0.154735401,-0.154735401,7.345264599,0.225719816,0.010233244,0.004955897,-0.004955897,7.320571341,0.247772777,-0.159292727,0.294559878,5.162248864
449,3.7280741,119.4637763,265.243013,26.96534166,-59.87060419,59.87060419,0.149043622,-0.149043622,7.350956378,0.225719816,0.0113642,0.005946797,-0.005946797,7.371307338,0.185189615,-0.093272794,0.207352376,5.969391518
450,3.7406245,119.4681074,265.2435841,26.96631927,-59.87073309,59.87073309,0.084681237,-0.084681237,7.415318763,0.225719816,0.012341809,0.006075696,-0.006075696,7.381454537,0.16643502,-0.082312064,0.185676848,10.30400022
451,3.7436395,119.4715705,265.2431317,26.96710097,-59.87063099,59.87063099,0.07180876,-0.07180876,7.42819124,0.225719816,0.013123508,0.005973597,-0.005973597,7.42224626,0.190293789,0.03933852,0.194317383,4.989539359
452,3.7565788,119.4738668,265.2455364,26.96761928,-59.87117376,59.87117376,0.132458294,-0.132458294,7.367541706,0.225719816,0.013641828,0.006516367,-0.006516367,7.430404605,0.120152752,0.09974745,0.156160935,3.455507942
453,3.7594819,119.4765008,265.2386073,26.96821383,-59.86960974,59.86960974,-0.049223215,0.049223215,7.549223215,0.225719816,0.014236376,0.004952341,-0.004952341,7.419391468,0.1102049,0.0579522,0.124513363,-1.436226014
454,3.7724422,119.4775771,265.2398505,26.96845676,-59.86989035,59.86989035,0.108251899,-0.108251899,7.391748101,0.225719816,0.014479298,0.005232956,-0.005232956,7.404544035,0.058176937,0.040943109,0.071139962,-6.043698772
455,3.7754249,119.4779491,265.2427477,26.96854073,-59.8705443,59.8705443,0.139746922,-0.139746922,7.360253078,0.225719816,0.014563278,0.005886903,-0.005886903,7.365196527,-0.232705831,0.066481867,0.242016203,-6.910005959
456,3.7884104,119.4778991,265.2456921,26.96852944,-59.87120892,59.87120892,0.146045927,-0.146045927,7.353954073,0.225719816,0.014551983,0.006551523,-0.006551523,7.28218672,-0.355784626,-0.033741764,0.357381039,-8.203021234
457,3.7917145,119.4571956,265.2444369,26.96385627,-59.87092561,59.87092561,0.329195834,-0.329195834,7.170804166,0.225719816,0.009878809,0.006268208,-0.006268208,7.265584759,-0.542575861,-0.034160151,0.543650146,-3.89173442
458,3.8045818,119.4337893,265.2422921,26.958573,-59.87044147,59.87044147,0.365825815,-0.365825815,7.134174185,0.225719816,0.004595544,0.005784074,-0.005784074,7.262264367,-0.538861945,0.001934806,0.538865419,2.539316111
459,3.807535,119.4218152,265.2426027,26.9558702,-59.87051159,59.87051159,0.191261705,-0.191261705,7.308738295,0.225719816,0.001892738,0.005854195,-0.005854195,7.300362572,-0.434629888,0.120453526,0.451012407,5.367995908
460,3.820246,119.4244464,265.2447861,26.95646412,-59.87100442,59.87100442,0.156348883,-0.156348883,7.343651117,0.225719816,0.002486659,0.006347026,-0.006347026,7.344360234,-0.129419063,0.10007526,0.16359814,11.80274564
461,3.8232819,119.4314442,265.2375042,26.95804367,-59.86936075,59.86936075,-0.044445098,0.044445098,7.544445098,0.225719816,0.004066209,0.004703353,-0.004703353,7.402182594,0.038037955,0.098888235,0.10595173,7.80025106
462,3.8362296,119.4378514,265.2384303,26.9594899,-59.86956979,59.86956979,0.109207523,-0.109207523,7.390792477,0.225719816,0.005512442,0.004912393,-0.004912393,7.413747066,0.202661022,0.100097994,0.226033401,6.884283437
463,3.8394713,119.4439794,265.2379752,26.9608731,-59.86946706,59.86946706,0.076714017,-0.076714017,7.423285983,0.225719816,0.006895639,0.004809664,-0.004809664,7.41605996,0.099553198,0.091681447,0.135337825,-0.100789028
464,3.8529101,119.4384961,265.2390287,26.95963542,-59.86970486,59.86970486,0.133439346,-0.133439346,7.366560654,0.225719816,0.005657963,0.005047463,-0.005047463,7.390405061,0.010459133,-0.014576715,0.01794085,-0.872207653
465,3.8565207,119.430997,265.2403221,26.95794272,-59.86999679,59.86999679,0.144784412,-0.144784412,7.355215588,0.225719816,0.003965262,0.005339398,-0.005339398,7.385274082,0.069728316,-0.043172878,0.082011801,-1.500336158
466,3.8681963,119.4348672,265.2397985,26.95881629,-59.86987862,59.86987862,0.083829395,-0.083829395,7.416170605,0.225719816,0.004838833,0.005221227,-0.005221227,7.37160308,0.004256666,-0.058759159,0.058913139,-1.14962192
467,3.8713872,119.4406355,265.242048,26.96011832,-59.87038638,59.87038638,0.134862421,-0.134862421,7.365137579,0.225719816,0.00614086,0.005728982,-0.005728982,7.36886888,0.096198315,-0.09074191,0.132242997,-0.690042971
