frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
637,5.3057529,163.0829068,277.0555293,36.77813194,62.48101049,-0.018446184,0.225518006,0.155076744,0.06607043,-0.115251755,-0.308706995,0.45412538,0.549117355,
638,5.3182387,163.0725455,277.0405928,36.77579529,62.47764206,-0.003689237,0.225518006,0.152740097,0.069438867,-0.023050351,-0.327157523,0.473158693,0.57524881,
639,5.3225952,163.0624479,277.0277263,36.77351809,62.47474043,-0.000737847,0.225518006,0.150462899,0.072340493,-0.00461007,-0.400750322,0.526733331,0.661852569,3.976482599
640,5.3344111,163.0528625,277.0169566,36.77135641,62.47231166,-0.000147569,0.225518006,0.148301215,0.07476926,-0.000922014,-0.309061589,0.3540315,0.469954646,1.575528017
641,5.338472,163.0439545,277.0081073,36.76934749,62.47031597,-2.95E-05,0.225518006,0.146292291,0.076764949,-0.000184403,-0.364306805,0.370400967,0.519534719,0.168813282
642,5.35011,163.0358108,277.0010197,36.76751096,62.46871761,-5.90E-06,0.225518006,0.144455762,0.078363312,-3.69E-05,-0.282659544,0.251998281,0.378681332,0.06753485
643,5.3536685,163.0284992,276.9954713,36.76586205,62.46746634,-1.18E-06,0.225518006,0.142806858,0.079614583,-7.38E-06,-0.310288818,0.244982195,0.395342164,0.007143551
644,5.3664001,163.0220365,276.9912918,36.76440458,62.46652379,-2.36E-07,0.225518006,0.141349388,0.080557128,-1.48E-06,-0.230193886,0.154433431,0.277198322,0.00301769
645,5.3703561,163.0164039,276.9883015,36.76313434,62.46584941,-4.72E-08,0.225518006,0.140079143,0.081231509,-2.95E-07,-0.241946993,0.139311211,0.279188039,0.000260743
646,5.3819161,163.011574,276.9863179,36.7620451,62.46540209,-9.44E-09,0.225518006,0.138989908,0.081678835,-5.90E-08,-0.161474648,0.070784625,0.17630804,0.000109962
647,5.3861527,163.0075055,276.9851583,36.76112758,62.46514057,-1.89E-09,0.225518006,0.138072387,0.081940356,-1.18E-08,-0.168070621,0.055339268,0.176946795,1.08E-05
648,5.3985846,163.0041423,276.9846624,36.76036913,62.46502873,-3.78E-10,0.225518006,0.137313933,0.082052192,-2.36E-09,-0.113573618,0.019105619,0.115169403,4.12E-06
649,5.4027584,163.0014132,276.9847215,36.75975367,62.46504207,-7.56E-11,0.225518006,0.136698479,0.082038857,-4.72E-10,-0.111870571,0.00346603,0.111924251,4.17E-07
650,5.4127199,162.9992661,276.985194,36.75926946,62.46514863,-1.51E-11,0.225518006,0.136214267,0.081932289,-9.44E-11,-0.073193813,-0.012668333,0.074282036,1.69E-07
651,5.4170531,162.9976193,276.9859531,36.75889807,62.4653198,-3.02E-12,0.225518006,0.135842872,0.08176112,-1.89E-11,-0.069576874,-0.025873394,0.074231893,1.89E-08
652,5.4288492,162.9964065,276.9869439,36.75862456,62.46554325,-6.04E-13,0.225518006,0.135569363,0.081537668,-3.78E-12,-0.042129916,-0.029925448,0.051676515,6.47E-09
653,5.4332681,162.9955654,276.9880614,36.75843488,62.46579526,-1.21E-13,0.225518006,0.135379686,0.081285661,-7.56E-13,-0.035173753,-0.040515782,0.053653719,6.72E-10
654,5.4449769,162.9950347,276.9892791,36.7583152,62.46606989,-2.42E-14,0.225518006,0.135260003,0.081011029,-1.51E-13,0.317206041,-0.037509877,0.319416129,2.54E-10
655,5.4493805,162.9947647,276.990522,36.75825431,62.46635018,-4.84E-15,0.225518006,0.135199112,0.080730742,-3.10E-14,1.320862158,-0.046165517,1.321668678,2.70E-11
656,5.4606806,163.078754,276.9917482,36.77719542,62.46662672,-9.67E-16,0.225518006,0.154140224,0.080454202,-8.63E-15,1.651170077,-0.038905727,1.651628372,1.01E-11
657,5.4649441,163.1731881,276.9929245,36.798492,62.466892,-1.93E-16,0.225518006,0.175436808,0.080188923,-4.15E-15,2.45680001,-0.045044434,2.457212911,1.00E-12
658,5.4771069,163.2599451,276.9940426,36.81805727,62.46714414,-3.87E-17,0.225518006,0.195002078,0.079936782,-4.40E-15,2.689048165,-0.035730185,2.689285533,3.39E-13
659,5.4813214,163.3350325,276.9950545,36.83499083,62.46737235,-7.74E-18,0.225518006,0.211935636,0.079708572,-4.44E-15,2.894438078,-0.03948544,2.894707392,-1.07E-14
660,5.4937291,163.3981617,276.9959942,36.84922759,62.46758425,-1.55E-18,0.225518006,0.226172395,0.079496669,-4.45E-15,2.066868372,-0.030061697,2.067086977,-4.23E-15
661,5.4980571,163.4500386,276.9968242,36.86092678,62.46777143,-3.09E-19,0.225518006,0.237871582,0.079309489,-4.46E-15,1.836099051,-0.027707539,1.836308098,-4.20E-16
662,5.5090166,163.4916982,276.9975581,36.87032176,62.46793695,-6.19E-20,0.225518006,0.247266566,0.079143975,-4.46E-15,1.359566131,-0.02418744,1.359781268,-1.62E-16
663,5.5251569,163.524246,276.9981993,36.87766187,62.46808156,-1.24E-20,0.225518006,0.254606674,0.078999362,-4.46E-15,1.195139128,-0.022452872,1.195350019,-1.49E-17
664,5.528547,163.5488281,276.9987487,36.88320558,62.46820546,-2.48E-21,0.225518006,0.26015038,0.07887546,-4.46E-15,0.818683347,-0.019175557,0.818907885,-3.20E-18
665,5.5408293,163.5665436,276.9992065,36.88720074,62.4683087,-4.95E-22,0.225518006,0.264145545,0.078772221,-4.46E-15,0.670673423,-0.017165488,0.670893057,-1.67E-18
666,5.544096,163.578434,276.9995956,36.88988225,62.46839645,-9.90E-23,0.225518006,0.26682705,0.078684471,-4.46E-15,0.614885617,-0.018062952,0.615150869,-1.50E-19
667,5.5576338,163.5854692,276.9998989,36.89146882,62.46846484,-1.98E-23,0.225518006,0.268413627,0.078616078,-4.46E-15,0.287544553,-0.011417747,0.287771151,-6.83E-20
668,5.5615923,163.5885556,277.0001349,36.89216485,62.46851807,-3.96E-24,0.225518006,0.26910965,0.078562848,-4.46E-15,0.188892038,-0.011531726,0.189243712,-5.27E-21
669,5.5733666,163.5884803,277.0003084,36.89214787,62.46855719,-7.92E-25,0.225518006,0.269092673,0.078523732,-4.46E-15,0.008466263,-0.006541859,0.01069923,-2.32E-21
