frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
415,3.4398108,109.9587616,184.0000191,25.7089817,43.02024737,0,0.233805668,0,0,0,,,,
416,3.4523488,109.9678665,184.0000048,25.71111049,43.02024403,0,0.233805668,0.00212879,3.34E-06,0,,,,
417,3.4569286,109.9758305,183.9999897,25.71297251,43.02024052,0,0.233805668,0.003990807,6.86E-06,0,,,,0
418,3.4676607,109.9826795,183.9999745,25.71457384,43.02023696,0,0.233805668,0.005592143,1.04E-05,0,0.218130605,0.000311671,0.218130828,0
419,3.4727653,109.9884773,183.9999707,25.7159294,43.02023608,0,0.233805668,0.0069477,1.13E-05,0,0.219209066,0.000260437,0.219209221,0
420,3.4840875,109.993297,183.9999698,25.71705628,43.02023585,0,0.233805668,0.008074581,1.15E-05,0,0.152696839,0.000107356,0.152696877,0
421,3.4893309,109.9972256,183.9999696,25.71797481,43.0202358,0,0.233805668,0.008993116,1.16E-05,0,-0.837945711,4.13E-05,0.837945712,0
422,3.4991942,110.0003478,183.9999695,25.7187048,43.02023578,0,0.233805668,0.009723104,1.16E-05,0,-0.922559021,6.51E-06,0.922559021,0
423,3.5031678,109.9187023,183.9999695,25.69961562,43.02023578,0,0.233805668,-0.009366081,1.16E-05,0,-0.858231967,2.60E-06,0.858231967,0
424,3.5157567,109.9102214,183.9999695,25.69763273,43.02023578,0,0.233805668,-0.011348967,1.16E-05,0,-0.842137198,4.79E-07,0.842137198,0
425,3.520793,109.9192935,183.9999695,25.69975384,43.02023578,0,0.233805668,-0.00922786,1.16E-05,0,-0.741853163,1.99E-07,0.741853163,0
426,3.5322867,109.9318612,183.9999695,25.70269224,43.02023578,0,0.233805668,-0.006289459,1.16E-05,0,0.2708699,2.39E-08,0.2708699,0
427,3.5373553,109.9443358,183.9999695,25.70560887,43.02023578,0,0.233805668,-0.003372831,1.16E-05,0,0.411424454,1.02E-08,0.411424454,0
428,3.5476516,109.9557685,183.9999695,25.70828192,43.02023578,0,0.233805668,-0.000699783,1.16E-05,0,0.363571686,1.59E-09,0.363571686,0
429,3.5520055,109.9659223,183.9999695,25.71065593,43.02023578,0,0.233805668,0.001674234,1.16E-05,0,0.407430335,6.46E-10,0.407430335,0
430,3.563366,109.9747608,183.9999695,25.71272241,43.02023578,0,0.233805668,0.003740708,1.16E-05,0,0.316627819,1.12E-10,0.316627819,0
431,3.5670903,109.9823262,183.9999695,25.71449125,43.02023578,0,0.233805668,0.00550955,1.16E-05,0,-0.643803089,4.58E-11,0.643803089,0
432,3.5793378,109.9886865,183.9999695,25.71597832,43.02023578,0,0.233805668,0.00699662,1.16E-05,0,-0.775395763,6.66E-12,0.775395763,0
433,3.5833936,109.9098875,183.9999695,25.69755468,43.02023578,0,0.233805668,-0.011427022,1.16E-05,0,-0.657380022,2.90E-12,0.657380022,0
434,3.5959146,109.903852,183.9999695,25.69614354,43.02023578,0,0.233805668,-0.012838155,1.16E-05,0,-0.697246025,2.32E-13,0.697246025,0
435,3.5992893,109.9149946,183.9999695,25.69874874,43.02023578,0,0.233805668,-0.010232959,1.16E-05,0,-0.537366079,-0.000151765,0.5373661,0
436,3.6114235,109.9292987,183.9999695,25.70209312,43.02023578,0,0.233805668,-0.006888574,1.16E-05,0,0.11719177,-0.000202578,0.117191945,0
437,3.6149496,109.9431859,183.9999809,25.70534002,43.02023846,0,0.233805668,-0.003641678,8.92E-06,0,-0.937230571,-0.000396775,0.937230655,0
438,3.6281139,109.8716932,183.9999952,25.68862461,43.0202418,0,0.233805668,-0.020357085,5.57E-06,0,-1.065060187,-0.000454304,1.065060284,0
439,3.6317307,109.7883941,184.0000103,25.66914882,43.02024531,0,0.233805668,-0.039832876,2.06E-06,0,-0.78638636,-0.000500286,0.786386519,0
440,3.6440849,109.7954128,184.0000255,25.67078984,43.02024887,0,0.233805668,-0.038191862,-1.49E-06,0,-0.847848148,-0.00035235,0.847848221,0
441,3.6479491,109.8229968,184.0000293,25.67723913,43.02024975,0,0.233805668,-0.031742568,-2.38E-06,0,-0.510687515,-0.000302224,0.510687605,0
442,3.6595505,109.853439,184.0000302,25.68435669,43.02024998,0,0.233805668,-0.024625005,-2.60E-06,0,0.980982787,-0.000108981,0.980982793,0
443,3.6756961,109.8821696,184.0000304,25.69107408,43.02025003,0,0.233805668,-0.017907622,-2.66E-06,0,0.735184802,-5.15E-05,0.735184804,0
444,3.6786087,109.9080004,184.0000305,25.69711347,43.02025005,0,0.233805668,-0.011868233,-2.67E-06,0,0.529380752,-5.57E-06,0.529380752,0
445,3.6917026,109.8466119,184.0000305,25.68276046,43.02025005,0,0.233805668,-0.026221235,-2.67E-06,0,0.192643841,-1.75E-06,0.192643841,0
446,3.6950848,109.8558695,184.0000305,25.68492495,43.02025005,0,0.233805668,-0.024056745,-2.68E-06,0,0.321309362,-1.06E-06,0.321309362,0
447,3.7081292,109.7961627,184.0000305,25.67096516,43.02025005,0,0.233805668,-0.038016543,-2.68E-06,0,0.023888839,-1.11E-07,0.023888839,0
448,3.7114914,109.8113969,184.0000305,25.674527,43.02025005,0,0.233805668,-0.034454702,-2.68E-06,0,0.675606397,-5.83E-08,0.675606397,0
449,3.7238689,109.8424423,184.0000305,25.68178561,43.02025005,0,0.233805668,-0.027196092,-2.68E-06,0,0.650298521,-6.98E-09,0.650298521,0
450,3.7273257,109.8744137,184.0000305,25.68926069,43.02025005,0,0.233805668,-0.019721009,-2.68E-06,0,1.16217731,-3.66E-09,1.16217731,0
451,3.7406119,109.9035895,184.0000305,25.69608217,43.02025005,0,0.233805668,-0.01289953,-2.68E-06,0,1.037292868,-4.39E-10,1.037292868,0
452,3.744621,109.9291254,184.0000305,25.70205259,43.02025005,0,0.233805668,-0.006929105,-2.68E-06,0,1.169327527,-2.21E-10,1.169327527,0
453,3.7563635,109.9509703,184.0000305,25.70716006,43.02025005,0,0.233805668,-0.001821636,-2.68E-06,0,0.791964349,-2.52E-11,0.791964349,0
454,3.7598003,109.9692947,184.0000305,25.71144441,43.02025005,0,0.233805668,0.00246271,-2.68E-06,0,0.82098644,-1.24E-11,0.82098644,0
455,3.7725889,109.98437,184.0000305,25.71496911,43.02025005,0,0.233805668,0.005987408,-2.68E-06,0,0.559596583,-1.80E-12,0.559596583,0
456,3.7768971,109.9965045,184.0000305,25.71780621,43.02025005,0,0.233805668,0.008824514,-2.68E-06,0,0.551077789,-8.27E-13,0.551077789,0
457,3.7890973,110.0060155,184.0000305,25.72002993,43.02025005,0,0.233805668,0.011048233,-2.68E-06,0,0.323071745,4.66E-05,0.323071748,0
458,3.7933954,110.0132283,184.0000305,25.72171634,43.02025005,0,0.233805668,0.012734644,-2.68E-06,0,0.30617465,0.000201136,0.306174716,0
459,3.8048702,110.0184591,184.0000191,25.72293932,43.02024737,0,0.233805668,0.013957616,0,0,0.182583528,0.00025831,0.18258371,0
460,3.8091998,110.0219983,184.0000048,25.72376682,43.02024403,0,0.233805668,0.01478512,3.34E-06,0,0.156990093,0.000425876,0.156990671,0
461,3.8214846,110.0241306,183.9999897,25.72426535,43.02024052,0,0.233805668,0.015283646,6.86E-06,0,0.078806703,0.000441815,0.078807941,0
462,3.8257261,110.0251157,183.9999745,25.72449567,43.02023696,0,0.233805668,0.015513968,1.04E-05,0,0.051677785,0.000403645,0.051679361,0
463,3.836874,110.0251846,183.9999707,25.72451177,43.02023608,0,0.233805668,0.015530075,1.13E-05,0,0.007621926,0.000250311,0.007626035,0
464,3.8421208,110.0245323,183.9999698,25.72435927,43.02023585,0,0.233805668,0.015377574,1.15E-05,0,-0.015172406,0.000193691,0.015173642,0
465,3.8516432,110.023345,183.9999696,25.72408167,43.0202358,0,0.233805668,0.015099974,1.16E-05,0,-0.033084161,2.62E-05,0.033084171,0
466,3.8566539,110.0217721,183.9999695,25.72371393,43.02023578,0,0.233805668,0.014732234,1.16E-05,0,-0.052838247,1.03E-05,0.052838248,0
467,3.8687479,110.0199484,183.9999695,25.72328754,43.02023578,0,0.233805668,0.014305837,1.16E-05,0,-0.055841505,1.82E-06,0.055841505,0
468,3.8734859,110.0179761,183.9999695,25.72282641,43.02023578,0,0.233805668,0.013844709,1.16E-05,0,-0.055956941,6.53E-07,0.055956941,0
469,3.884265,110.0159439,183.9999695,25.72235124,43.02023578,0,0.233805668,0.013369546,1.16E-05,0,-0.057913149,9.92E-08,0.057913149,0
470,3.9001859,110.0139194,183.9999695,25.72187792,43.02023578,0,0.233805668,0.012896226,1.16E-05,0,-0.059917662,4.19E-08,0.059917662,0
471,3.9056782,110.0119657,183.9999695,25.72142112,43.02023578,0,0.233805668,0.01243942,1.16E-05,0,-0.061016482,5.31E-09,0.061016482,0
472,3.9152324,110.0101154,183.9999695,25.72098851,43.02023578,0,0.233805668,0.012006812,1.16E-05,0,-0.058275859,1.29E-09,0.058275859,0
473,3.9191338,110.0083997,183.9999695,25.72058737,43.02023578,0,0.233805668,0.011605671,1.16E-05,0,-0.070635457,6.15E-10,0.070635457,0
474,3.9311987,110.006832,183.9999695,25.72022085,43.02023578,0,0.233805668,0.011239154,1.16E-05,0,-0.058701236,1.21E-10,0.058701236,0
475,3.934787,110.0054273,183.9999695,25.71989242,43.02023578,0,0.233805668,0.010910726,1.16E-05,0,-0.06241647,5.02E-11,0.06241647,0
476,3.9471615,110.0041835,183.9999695,25.71960161,43.02023578,0,0.233805668,0.010619915,1.16E-05,0,-0.045388615,6.54E-12,0.045388615,0
477,3.9511075,110.0031058,183.9999695,25.71934964,43.02023578,0,0.233805668,0.010367941,1.16E-05,0,-0.05002478,3.00E-12,0.05002478,0
478,3.9632966,110.0021841,183.9999695,25.71913413,43.02023578,0,0.233805668,0.010152433,1.16E-05,0,-0.034059984,2.30E-13,0.034059984,0
479,3.9666755,110.00141,183.9999695,25.71895316,43.02023578,0,0.233805668,0.00997146,1.16E-05,0,-0.943515695,-0.0001237,0.943515703,0
480,3.9795719,110.0007645,183.9999695,25.71880223,43.02023578,0,0.233805668,0.009820527,1.16E-05,0,-0.974858143,-0.000182737,0.974858161,0
481,3.983898,109.9161915,183.9999809,25.69902858,43.02023846,0,0.233805668,-0.009953121,8.92E-06,0,-0.86987643,-0.000386328,0.869876516,0
482,3.9952286,109.9055024,183.9999952,25.69652941,43.0202418,0,0.233805668,-0.012452288,5.57E-06,0,-0.820162331,-0.000437794,0.820162448,0
483,3.9986785,109.9129868,184.0000103,25.6982793,43.02024531,0,0.233805668,-0.010702401,2.06E-06,0,-0.691810694,-0.000478155,0.691810859,0
484,4.0124884,109.9245052,184.0000255,25.70097238,43.02024887,0,0.233805668,-0.00800932,-1.49E-06,0,0.269353344,-0.000358448,0.269353583,0
485,4.0168907,109.9363685,184.0000293,25.70374607,43.02024975,0,0.233805668,-0.00523563,-2.38E-06,0,0.434834416,-0.00030224,0.434834521,0
486,4.0280146,109.9475511,184.0000302,25.70636064,43.02024998,0,0.233805668,-0.00262106,-2.60E-06,0,0.370331766,-9.89E-05,0.370331779,0
487,4.0319401,109.9577397,184.0000304,25.70874278,43.02025003,0,0.233805668,-0.000238919,-2.66E-06,0,0.426063224,-4.76E-05,0.426063227,0
488,4.0434499,109.9668328,184.0000305,25.71086881,43.02025005,0,0.233805668,0.001887113,-2.67E-06,0,0.326701538,-7.25E-06,0.326701538,0
489,4.0473908,109.9748167,184.0000305,25.71273549,43.02025005,0,0.233805668,0.003753792,-2.67E-06,0,0.358694205,-3.27E-06,0.358694205,0
490,4.0594877,109.9817108,184.0000305,25.71434736,43.02025005,0,0.233805668,0.005365658,-2.68E-06,0,0.255654767,-4.45E-07,0.255654767,0
491,4.0629566,109.9875713,184.0000305,25.71571759,43.02025005,0,0.233805668,0.006735888,-2.68E-06,0,0.265583831,-2.05E-07,0.265583831,0
492,4.0754394,109.992464,184.0000305,25.71686151,43.02025005,0,0.233805668,0.007879816,-2.68E-06,0,0.183026242,-2.85E-08,0.183026242,0
493,4.079434,109.996468,184.0000305,25.71779769,43.02025005,0,0.233805668,0.008815991,-2.68E-06,0,0.184082466,-1.41E-08,0.184082466,0
494,4.0917607,109.9996778,184.0000305,25.71854814,43.02025005,0,0.233805668,0.009566444,-2.68E-06,0,0.112177487,-1.65E-09,0.112177487,0
495,4.0959737,110.0021739,184.0000305,25.71913176,43.02025005,0,0.233805668,0.01015006,-2.68E-06,0,0.097804661,-7.78E-10,0.097804661,0
496,4.1083441,110.0040511,184.0000305,25.71957065,43.02025005,0,0.233805668,0.010588952,-2.68E-06,0,0.061750615,-1.00E-10,0.061750615,0
497,4.1242427,110.0053959,184.0000305,25.71988506,43.02025005,0,0.233805668,0.010903366,-2.68E-06,0,0.051534513,-4.50E-11,0.051534513,0
498,4.1281198,110.0062928,184.0000305,25.72009478,43.02025005,0,0.233805668,0.011113078,-2.68E-06,0,0.026335729,-4.89E-12,0.026335729,0
499,4.1405687,110.0068146,184.0000305,25.72021677,43.02025005,0,0.233805668,0.011235074,-2.68E-06,0,0.019108186,-1.45E-12,0.019108186,0
500,4.1444965,110.0070252,184.0000305,25.720266,43.02025005,0,0.233805668,0.011284303,-2.68E-06,0,0.01228581,-7.33E-13,0.01228581,0
501,4.1562821,110.006992,184.0000305,25.72025824,43.02025005,0,0.233805668,0.011276543,-2.68E-06,0,-0.324991378,4.43E-05,0.324991381,0
502,4.1599637,110.0067662,184.0000305,25.72020546,43.02025005,0,0.233805668,0.011223765,-2.68E-06,0,-0.483557831,0.00025293,0.483557897,0
503,4.1720553,109.9223497,184.0000191,25.70046839,43.02024737,0,0.233805668,-0.008513305,0,0,-0.460536203,0.000305574,0.460536305,0
504,4.1752609,109.9116139,184.0000048,25.6979583,43.02024403,0,0.233805668,-0.011023394,3.34E-06,0,-0.336470273,0.00047377,0.336470606,0
505,4.188603,109.9188977,183.9999897,25.69966131,43.02024052,0,0.233805668,-0.009320387,6.86E-06,0,-0.288467027,0.000488739,0.288467441,0
506,4.1928286,109.9300971,183.9999745,25.70227979,43.02023696,0,0.233805668,-0.006701904,1.04E-05,0,0.152806042,0.000454656,0.152806718,0
507,4.2046984,109.9415544,183.9999707,25.70495858,43.02023608,0,0.233805668,-0.004023122,1.13E-05,0,0.345696132,0.000246871,0.34569622,0
508,4.2090647,109.9522751,183.9999698,25.70746514,43.02023585,0,0.233805668,-0.001516562,1.15E-05,0,0.423502405,0.000194941,0.423502449,0
509,4.2215672,109.9619763,183.9999696,25.70973331,43.0202358,0,0.233805668,0.000751615,1.16E-05,0,0.330847575,2.68E-05,0.330847576,0
510,4.2254586,109.9705756,183.9999695,25.7117439,43.02023578,0,0.233805668,0.002762197,1.16E-05,0,0.348536199,1.19E-05,0.348536199,0
511,4.2366621,109.9780699,183.9999695,25.71349609,43.02023578,0,0.233805668,0.004514391,1.16E-05,0,0.255562519,1.70E-06,0.255562519,0
512,4.2414425,109.9844924,183.9999695,25.71499773,43.02023578,0,0.233805668,0.006016027,1.16E-05,0,0.246756482,8.17E-07,0.246756482,0
513,4.2530396,109.989909,183.9999695,25.71626414,43.02023578,0,0.233805668,0.007282443,1.16E-05,0,0.165395046,1.04E-07,0.165395046,0
514,4.2606706,109.9943931,183.9999695,25.71731255,43.02023578,0,0.233805668,0.008330848,1.16E-05,0,0.167599489,4.20E-08,0.167599489,0
515,4.268402,109.9980261,183.9999695,25.71816196,43.02023578,0,0.233805668,0.009180265,1.16E-05,0,0.113276781,5.70E-09,0.113276781,0
516,4.2724193,110.0009027,183.9999695,25.71883454,43.02023578,0,0.233805668,0.009852838,1.16E-05,0,0.106349978,1.96E-09,0.106349978,0
517,4.2845572,110.0031096,183.9999695,25.71935052,43.02023578,0,0.233805668,0.010368822,1.16E-05,0,0.084229614,5.43E-10,0.084229614,0
518,4.2896422,110.0047313,183.9999695,25.71972969,43.02023578,0,0.233805668,0.010747995,1.16E-05,0,0.069472849,1.93E-10,0.069472849,0
519,4.2994743,110.0058577,183.9999695,25.71999306,43.02023578,0,0.233805668,0.011011357,1.16E-05,0,0.037450327,2.41E-11,0.037450327,0
520,4.3040799,110.0065685,183.9999695,25.72015923,43.02023578,0,0.233805668,0.011177536,1.16E-05,0,0.029833311,1.00E-11,0.029833311,0
521,4.3159912,110.0069407,183.9999695,25.72024627,43.02023578,0,0.233805668,0.011264567,1.16E-05,0,0.014381951,1.63E-12,0.014381951,0
522,4.3209082,110.0070338,183.9999695,25.72026802,43.02023578,0,0.233805668,0.011286325,1.16E-05,0,0.008178489,6.17E-13,0.008178489,0
