frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
438,3.6228147,123.4999847,199.4978438,28.49999648,46.03796396,-1.48E-172,0.230769231,-7.04E-06,-0.017348176,-5.52E-155,-1.67E-09,-0.441155212,0.441155212,0
439,3.6352121,123.4999847,199.505698,28.49999648,46.03977646,-2.96E-173,0.230769231,-7.04E-06,-0.019160674,-5.52E-155,-2.02E-10,-0.266728033,0.266728033,0
440,3.6395397,123.4999847,199.5116326,28.49999648,46.04114599,-5.92E-174,0.230769231,-7.04E-06,-0.020530206,-5.52E-155,-9.02E-11,-0.251947164,0.251947164,0
441,3.6503914,123.4999847,199.5159201,28.49999648,46.04213541,-1.18E-174,0.230769231,-7.04E-06,-0.02151962,-5.52E-155,-1.24E-11,-0.150881528,0.150881528,0
442,3.6543557,123.4999847,199.5188001,28.49999648,46.04280003,-2.37E-175,0.230769231,-7.04E-06,-0.022184243,-5.52E-155,-5.64E-12,-0.130032855,0.130032855,0
443,3.6663841,123.4999847,199.5205158,28.49999648,46.04319595,-4.74E-176,0.230769231,-7.04E-06,-0.022580161,-5.52E-155,-8.82E-13,-0.066681872,0.066681872,0
444,3.6705686,123.4999847,199.5212766,28.49999648,46.04337151,-9.48E-177,0.230769231,-7.04E-06,-0.022755728,-5.52E-155,-3.58E-13,-0.042326052,0.042326052,0
445,3.6831242,123.4999847,199.5212608,28.49999648,46.04336787,-1.90E-177,0.230769231,-7.04E-06,-0.022752082,-5.52E-155,2.44E-05,-0.00434487,0.004344939,0
446,3.6876414,123.4999847,199.5206617,28.49999648,46.04322963,-3.79E-178,0.230769231,-7.04E-06,-0.022613842,-5.52E-155,9.56E-05,0.01565324,0.015653532,0
447,3.6984509,123.4999905,199.5196193,28.4999978,46.04298907,-7.58E-179,0.230769231,-5.72E-06,-0.022373288,-5.52E-155,0.000124518,0.030051971,0.030052229,0
448,3.7030879,123.4999976,199.5182715,28.49999945,46.04267805,-1.52E-179,0.230769231,-4.07E-06,-0.02206226,-5.52E-155,0.000230264,0.053260827,0.053261325,0
449,3.7150843,123.5000051,199.5167101,28.50000118,46.04231771,-3.03E-180,0.230769231,-2.34E-06,-0.021701922,-5.52E-155,0.0002376,0.053747542,0.053748067,0
450,3.7184012,123.5000127,199.515038,28.50000294,46.04193184,-6.06E-181,0.230769231,-5.85E-07,-0.021316052,-5.52E-155,0.000218762,0.069294124,0.069294469,0
451,3.7303544,123.5000146,199.5133268,28.50000338,46.04153694,-1.21E-181,0.230769231,-1.46E-07,-0.020921157,-5.52E-155,0.000148028,0.386760793,0.386760821,0
452,3.7342736,123.5000151,199.5116287,28.50000348,46.04114507,-2.43E-182,0.230769231,-3.65E-08,-0.020529289,-5.52E-155,0.00011956,0.550452548,0.550452561,0
453,3.7462269,123.5000152,199.4259342,28.50000351,46.02136943,-4.85E-183,0.230769231,-9.10E-09,-0.000753646,-5.52E-155,1.38E-05,0.505566846,0.505566846,0
454,3.7494453,123.5000152,199.4141007,28.50000352,46.01863863,-9.70E-184,0.230769231,-2.25E-09,0.001977153,-5.52E-155,6.52E-06,0.381709051,0.381709051,0
455,3.7630171,123.5000153,199.4204579,28.50000352,46.02010566,-1.94E-184,0.230769231,-5.35E-10,0.000510124,-5.52E-155,9.32E-07,0.317219879,0.317219879,0
456,3.7671249,123.5000153,199.4308934,28.50000352,46.02251387,-3.88E-185,0.230769231,-1.07E-10,-0.001898083,-5.52E-155,4.74E-07,-0.043259317,0.043259317,0
457,3.7783788,123.5000153,199.4417421,28.50000352,46.0250174,-7.76E-186,0.230769231,0,-0.004401614,-5.52E-155,4.87E-08,-0.330708021,0.330708021,0
458,3.7943506,123.5000153,199.4519844,28.50000352,46.02738102,-1.55E-186,0.230769231,2.68E-11,-0.006765239,-5.52E-155,2.35E-08,-0.340309864,0.340309864,0
459,3.7980098,123.5000153,199.4613199,28.50000352,46.02953537,-3.10E-187,0.230769231,3.35E-11,-0.008919584,-5.52E-155,2.65E-09,-0.315238454,0.315238454,0
460,3.810325,123.5000153,199.4696505,28.50000352,46.03145781,-6.21E-188,0.230769231,3.51E-11,-0.010842025,-5.52E-155,7.52E-10,-0.293932566,0.293932566,0
461,3.8139864,123.5000153,199.4769631,28.50000352,46.03314533,-1.24E-188,0.230769231,3.55E-11,-0.012529546,-5.52E-155,4.19E-10,-0.324574668,0.324574668,0
462,3.8265555,123.5000153,199.4832773,28.50000352,46.03460246,-2.48E-189,0.230769231,3.56E-11,-0.013986677,-5.52E-155,5.32E-11,0.10455644,0.10455644,0
463,3.8306672,123.5000153,199.4886439,28.50000352,46.0358409,-4.97E-190,0.230769231,3.57E-11,-0.015225112,-5.52E-155,2.60E-11,0.208527312,0.208527312,0
464,3.8424627,123.5000153,199.4090644,28.50000352,46.01747639,-9.94E-191,0.230769231,3.57E-11,0.003139396,-5.52E-155,3.14E-12,0.261538493,0.261538493,0
465,3.8466551,123.5000153,199.4024561,28.50000352,46.0159514,-1.99E-191,0.230769231,3.57E-11,0.004664387,-5.52E-155,1.50E-12,0.094822281,0.094822281,0
466,3.8593129,123.5000153,199.4131979,28.50000352,46.01843029,-3.97E-192,0.230769231,3.57E-11,0.002185492,-5.52E-155,1.20E-13,0.101930328,0.101930328,0
467,3.8627247,123.5000153,199.4272359,28.50000352,46.02166983,-7.95E-193,0.230769231,3.57E-11,-0.001054049,-5.52E-155,-7.36E-05,0.710623654,0.710623658,0
468,3.8746607,123.5000153,199.4409765,28.50000352,46.02484072,-1.59E-193,0.230769231,3.57E-11,-0.004224938,-5.52E-155,-9.98E-05,0.635022273,0.635022281,0
469,3.8782497,123.5000095,199.3694299,28.5000022,46.00832998,-3.18E-194,0.230769231,-1.32E-06,0.012285806,-5.52E-155,-0.000201259,0.439283285,0.439283331,0
470,3.8908548,123.5000024,199.3702086,28.50000055,46.00850967,-6.36E-195,0.230769231,-2.97E-06,0.012106112,-5.52E-155,-0.000228236,0.558510294,0.558510341,0
471,3.8942703,123.4999949,199.3875923,28.49999882,46.01252129,-1.27E-195,0.230769231,-4.70E-06,0.008094491,-5.52E-155,-0.000250619,0.389588372,0.389588453,0
472,3.9072723,123.4999873,199.4075022,28.49999706,46.01711588,-2.54E-196,0.230769231,-6.46E-06,0.003499901,-5.52E-155,-0.00017871,-0.59001884,0.590018867,0
473,3.9111898,123.4999854,199.4263499,28.49999662,46.02146536,-5.09E-197,0.230769231,-6.90E-06,-0.000849571,-5.52E-155,-0.000154034,-0.774563195,0.77456321,0
