frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
612,5.0689151,130.4947118,267.6820423,29.52831947,60.57104347,0.038488684,1.638488684,0.226279817,2.13E-05,0.000784069,1.648521774,0.001609645,0.043781301,0.043810881,-1.239565465
613,5.0810653,130.4947526,267.6812375,29.52832871,60.57086136,0.03695925,1.63695925,0.226279817,3.05E-05,0.000966182,1.638965868,0.002176461,0.054060009,0.054103803,-1.209719056
614,5.0847637,130.4947628,267.6814941,29.52833101,60.57091941,0.036653363,1.636653363,0.226279817,3.28E-05,0.000908128,1.637054686,0.002143743,0.047449817,0.047498219,-0.445375048
615,5.0963872,130.4947654,267.6819702,29.52833159,60.57102715,0.036592185,1.636592185,0.226279817,3.34E-05,0.00080039,1.63667245,0.000295756,-0.010652838,0.010656943,-0.190661004
616,5.0998093,130.494766,267.6824783,29.52833174,60.57114213,0.03657995,1.63657995,0.226279817,3.36E-05,0.00068541,1.636596003,0.000144273,-0.019217645,0.019218187,0.193989516
617,5.1118652,130.4947662,267.6829945,29.52833177,60.57125892,0.036577503,1.636577503,0.226279817,3.36E-05,0.00056862,1.644277933,6.12E-05,-0.011979708,0.011979864,1.0473258
618,5.115519,130.4947662,267.6834439,29.52833178,60.57136063,0.036577013,1.636577013,0.226279817,3.36E-05,0.000466915,1.653511539,-0.000795987,-0.024192168,0.024205259,0.909068846
619,5.1279258,130.4947777,267.6823203,29.52833437,60.57110638,0.075063015,1.675063015,0.226279817,3.62E-05,0.000721161,1.648088401,-0.000907002,-0.02504218,0.025058599,0.59380255
620,5.1314404,130.4947119,267.6834127,29.52831948,60.57135356,0.082760215,1.682760215,0.226279817,2.13E-05,0.000473975,1.647003773,0.000887647,0.034742555,0.034753893,-0.045951329
621,5.1437463,130.494684,267.6854711,29.52831317,60.57181933,0.009464259,1.609464259,0.226279817,1.50E-05,8.21E-06,1.654484068,0.000758959,0.038429176,0.03843667,-0.529277394
622,5.1470324,130.4948143,267.6812707,29.52834267,60.57086887,0.031154365,1.631154365,0.226279817,4.45E-05,0.000958665,1.648282907,0.000447587,0.025953776,0.025957635,-0.458869667
623,5.159768,130.4947783,267.6817999,29.5283345,60.57098862,0.073978485,1.673978485,0.226279817,3.63E-05,0.00083892,1.647042674,0.001026608,0.034531888,0.034547144,0.766806876
624,5.1632031,130.4947578,267.6824358,29.52832987,60.5711325,0.04405721,1.64405721,0.226279817,3.17E-05,0.000695043,1.661761707,0.000199731,0.022846565,0.022847438,1.474675893
625,5.1756495,130.494684,267.6839451,29.52831318,60.57147404,0.076559054,1.676559054,0.226279817,1.50E-05,0.000353504,1.664705514,-0.001872031,-0.045567735,0.045606172,1.560405959
626,5.1793337,130.4946084,267.6855126,29.52829606,60.57182873,0.083059423,1.683059423,0.226279817,-2.12E-06,-1.20E-06,1.665294275,-0.002679035,-0.064091481,0.064147449,0.135258492
627,5.1917947,130.4945322,267.6884222,29.52827883,60.57248711,0.045873397,1.645873397,0.226279817,-1.93E-05,-0.000659575,1.665412027,-0.002141908,-0.047136546,0.047185186,0.058921918
628,5.194931,130.4944674,267.6898363,29.52826416,60.57280708,0.076922291,1.676922291,0.226279817,-3.40E-05,-0.000979544,1.665435578,-0.002279451,-0.045307093,0.045364398,-0.195520016
629,5.2076771,130.4945428,267.6874203,29.52828121,60.5722604,0.044645971,1.644645971,0.226279817,-1.70E-05,-0.000432861,1.657743068,-0.001294659,-0.025632703,0.025665378,-0.369375577
630,5.2106813,130.4945158,267.6876632,29.52827512,60.57231536,0.076676806,1.676676806,0.226279817,-2.31E-05,-0.000487818,1.656204566,-0.000975404,-0.014475713,0.014508538,-0.379641671
631,5.2238934,130.494532,267.6875408,29.52827877,60.57228766,0.044596874,1.644596874,0.226279817,-1.94E-05,-0.000460124,1.655896866,-0.000404444,-0.002190441,0.002227466,-0.17972008
632,5.2402869,130.4945475,267.6873271,29.52828228,60.57223931,0.038180888,1.638180888,0.226279817,-1.59E-05,-0.000411768,1.655835326,-0.000613867,-0.010282215,0.010300523,-0.688004742
633,5.2440717,130.494517,267.6880061,29.52827538,60.57239295,0.07538379,1.67538379,0.226279817,-2.28E-05,-0.000565411,1.648125798,0.000100095,-0.003085759,0.003087382,-0.723454793
634,5.2559655,130.4945323,267.6878783,29.52827884,60.57236403,0.044338271,1.644338271,0.226279817,-1.93E-05,-0.000536493,1.646583892,0.000157896,-0.00224824,0.002253778,-0.748411657
635,5.2598877,130.494559,267.6875717,29.52828488,60.57229465,0.038129167,1.638129167,0.226279817,-1.33E-05,-0.000467114,1.646275511,0.000379788,0.001531137,0.001577536,-0.071159655
636,5.2717144,130.4945885,267.6872433,29.52829157,60.57222034,0.036887346,1.636887346,0.226279817,-6.60E-06,-0.000392798,1.646213835,0.000597707,0.007399083,0.007423186,-0.029223012
637,5.2749355,130.4946074,267.6869323,29.52829584,60.57214997,0.036638982,1.636638982,0.226279817,-2.34E-06,-0.000322428,1.6462015,-0.000264302,-0.025557581,0.025558948,0.198916968
638,5.2876374,130.4945663,267.6875641,29.52828654,60.57229293,0.075075408,1.675075408,0.226279817,-1.16E-05,-0.000465389,1.653896252,-0.000742593,-0.032295366,0.032303902,1.176478905
639,5.2907924,130.4945103,267.6898277,29.52827386,60.57280515,0.044276594,1.644276594,0.226279817,-2.43E-05,-0.000977609,1.663132423,0.000247788,0.009520869,0.009524093,1.425172326
640,5.3036512,130.4944619,267.690737,29.52826292,60.57301089,0.076602931,1.676602931,0.226279817,-3.53E-05,-0.001183351,1.672676877,-3.92E-05,0.006240956,0.006241079,0.809817974
641,5.3083182,130.4945757,267.6862951,29.52828867,60.57200578,0.083068198,1.683068198,0.226279817,-9.50E-06,-0.000178244,1.666888548,0.000407108,0.01173942,0.011746477,-0.198429156
642,5.3202197,130.4945698,267.6860086,29.52828734,60.57194096,0.084361252,1.684361252,0.226279817,-1.08E-05,-0.000113416,1.665730882,0.001315914,0.044935241,0.044954505,-2.013893399
