frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
672,5.5681865,164.0058832,171.4830438,53.42481391,55.86049428,0.424757673,-8.575242327,0.325749375,0.00510211,0.000580071,-8.66106987,0.271687551,0.125240387,0.299164302,-134.6675291
673,5.5801337,164.0118048,171.4839049,53.42674286,55.86077478,0.288021603,-8.711978397,0.325749375,0.007031062,0.000299573,-8.609147568,0.177974195,0.130049428,0.220426105,-20.5238301
674,5.5832236,164.0134111,171.4798858,53.42726611,55.85946558,0.516027172,-8.483972828,0.325749375,0.007554307,0.001608773,-8.598763107,0.242378921,0.101608669,0.262815264,8.628748194
675,5.5965215,164.0152317,171.47705,53.42785918,55.85854181,0.478589956,-8.521410044,0.325749375,0.008147379,0.002532539,-8.631149106,0.069513802,0.028570031,0.07515594,4.920095377
676,5.5994976,164.0197152,171.4785841,53.42931967,55.85904154,0.29878806,-8.70121194,0.325749375,0.00960787,0.00203281,-8.586555749,-0.031511297,0.090137637,0.095486939,2.510893203
677,5.6124811,163.9990465,171.4849185,53.42258686,55.86110498,0.26282768,-8.73717232,0.325749375,0.00287506,-3.06E-05,-8.530138298,-0.131334835,-0.014589208,0.132142665,1.765334456
678,5.6154914,163.9958706,171.4822907,53.42155231,55.86024898,0.510988388,-8.489011612,0.325749375,0.001840513,0.000825376,-8.553317699,-0.041263765,-0.078306039,0.088512903,2.19066065
679,5.6281226,163.9830833,171.4861656,53.41738683,55.86151122,0.798114426,-8.201885574,0.325749375,-0.002324969,-0.000436873,-8.557953579,-0.161649786,-0.062963418,0.173479236,-1.589421582
680,5.6311252,163.9876455,171.4884619,53.41887298,55.86225922,0.362692953,-8.637307047,0.325749375,-0.000838819,-0.001184872,-8.558880755,0.089656454,-0.066625229,0.111701392,-7.436236354
681,5.6442121,163.9831785,171.4921258,53.41741785,55.86345276,0.275608659,-8.724391341,0.325749375,-0.002293956,-0.002378406,-8.610136747,0.20119465,-0.128164675,0.238548677,-6.119193463
682,5.6471997,163.9899467,171.4937514,53.41962259,55.86398227,0.2581918,-8.7418082,0.325749375,-8.92E-05,-0.00290792,-8.68449439,0.146023971,-0.261402731,0.299423426,-6.24689911
683,5.6605396,163.9987112,171.4947071,53.42247762,55.86429359,0.254708428,-8.745291572,0.325749375,0.002765819,-0.003219238,-8.699365919,0.013147848,-0.227322707,0.227702611,-6.194211116
684,5.6634975,163.9932119,171.5016637,53.42068622,55.8665597,0.426326207,-8.573673793,0.325749375,0.000974424,-0.005485348,-8.702340225,-0.100643412,-0.249362951,0.268907006,-3.165165566
685,5.6766143,163.9863897,171.5048333,53.41846389,55.86759222,0.28833531,-8.71166469,0.325749375,-0.001247908,-0.006517864,-8.702935086,-0.275613595,-0.220318162,0.352849751,0.559787701
686,5.6796729,163.9800035,171.5067244,53.4163836,55.86820822,0.26073713,-8.73926287,0.325749375,-0.003328204,-0.007133872,-8.668591168,-0.213858381,-0.118342729,0.244418512,2.936185562
687,5.6928678,163.9744587,171.5080211,53.41457739,55.86863064,0.255217494,-8.744782506,0.325749375,-0.005134406,-0.007556283,-8.751243868,-0.025738805,0.084255273,0.088099019,2.343778194
688,5.6960757,163.9796071,171.5032298,53.41625448,55.86706986,0.42642802,-8.57357198,0.325749375,-0.003457322,-0.005995512,-8.716703852,-0.380389533,0.18870855,0.424625851,1.716146389
689,5.7082117,163.9920865,171.4940325,53.42031964,55.86407387,0.013062704,-8.986937296,0.325749375,0.000607841,-0.002999513,-8.764854442,-0.206178214,0.266135552,0.336656484,-0.5578473
690,5.7112367,163.9740463,171.4899136,53.41444303,55.86273213,0.461035392,-8.538964608,0.325749375,-0.005268766,-0.001657776,-8.77448456,-0.187245475,0.26681629,0.325962882,0.689950645
691,5.7248647,163.9820331,171.4821433,53.41704476,55.86020096,0.019984178,-8.980015822,0.325749375,-0.002667045,0.000873394,-8.776410584,-0.161727213,0.221663516,0.274390973,-4.946703761
692,5.7402737,163.9800359,171.4834966,53.41639415,55.8606418,0.207066904,-8.792933096,0.325749375,-0.003317654,0.00043255,-8.776795789,-0.165930139,0.204080734,0.263024252,-3.454751739
693,5.7432105,163.9858995,171.4811456,53.41830421,55.85987596,0.416797902,-8.583202098,0.325749375,-0.00140759,0.001198397,-8.827943386,0.170532331,0.059146892,0.180498285,1.016057732
