frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
776,6.4269563,130.4981692,267.9028485,29.5291018,60.62100744,0.002621581,0.226279817,0.000803628,-0.049179905,0.016379641,0.039190799,-2.18918966,2.189540428,-15.88310745
777,6.4396767,130.4988671,267.9415401,29.52925973,60.62976257,0.000524316,0.226279817,0.000961551,-0.057935031,0.003275928,0.027478837,-1.528224963,1.52847199,-7.25310349
778,6.4427283,130.4994421,267.9732314,29.52938984,60.63693368,0.000104863,0.226279817,0.001091666,-0.065106139,0.000655186,0.029366169,-1.621504385,1.62177028,-0.643180122
779,6.4556392,130.4999063,267.9985721,29.52949488,60.64266778,2.10E-05,0.226279817,0.001196703,-0.070840237,0.000131037,0.018992145,-1.0373087,1.03748255,-0.311198865
780,6.4587053,130.5002741,268.0182969,29.52957811,60.64713109,4.19E-06,0.226279817,0.001279933,-0.075303555,2.62E-05,0.018845656,-1.026408598,1.026581593,-0.025448595
781,6.4721579,130.5005492,268.03307,29.52964035,60.65047395,8.39E-07,0.226279817,0.001342173,-0.078646412,5.24E-06,0.010810354,-0.58305444,0.583154648,-0.012286871
782,6.4759281,130.5007438,268.0436297,29.52968439,60.65286341,1.68E-07,0.226279817,0.001386219,-0.081035867,1.05E-06,0.010342669,-0.553819289,0.553915856,-0.000913852
783,6.4877634,130.5008726,268.0505955,29.52971353,60.65443963,3.36E-08,0.226279817,0.001415357,-0.082612087,2.10E-07,0.005021917,-0.562417913,0.562440333,-0.000412721
784,6.4908068,130.5009506,268.0546029,29.52973117,60.65534642,6.71E-09,0.226279817,0.001433,-0.083518876,4.19E-08,0.004041522,-1.907742243,1.907746524,-4.29E-05
785,6.5037375,130.5009815,268.1402453,29.52973817,60.67472555,1.34E-09,0.226279817,0.00144,-0.102898011,8.39E-09,-0.282251436,-2.067074737,2.086255939,-2.00E-05
786,6.5067866,130.5009778,268.2342343,29.52973734,60.69599337,2.68E-10,0.226279817,0.001439161,-0.124165828,1.68E-09,-1.585031256,-3.031925326,3.421241773,-1.63E-06
787,6.5201889,130.4168857,268.3189574,29.51070899,60.71516451,5.37E-11,0.226279817,-0.017589187,-0.143336966,3.35E-10,-1.897912517,-3.18500557,3.707604672,-7.94E-07
788,6.5234687,130.322506,268.3908127,29.48935278,60.73142389,1.07E-11,0.226279817,-0.038945399,-0.159596353,6.71E-11,-3.022089439,-4.857999994,5.721292556,-6.21E-08
789,6.5360389,130.2359228,268.4498836,29.46976075,60.74479046,2.15E-12,0.226279817,-0.058537429,-0.172962925,1.34E-11,-3.244270598,-3.926774134,5.093608427,-2.99E-08
790,6.5390524,130.1610735,268.5812438,29.45282384,60.77451462,4.30E-13,0.226279817,-0.075474333,-0.202687076,2.69E-12,-3.726090269,-5.335633164,6.507897506,-2.67E-09
791,6.5518469,130.0982441,268.7123657,29.43860684,60.80418486,8.59E-14,0.226279817,-0.08969134,-0.232357315,5.39E-13,-2.866029046,-1.712562597,3.3387113,-1.29E-09
792,6.5548941,130.0466825,268.8264908,29.42693947,60.83000906,1.72E-14,0.226279817,-0.101358705,-0.258181517,1.10E-13,-3.181527639,-2.342151494,3.950669784,-1.05E-10
793,6.5677245,129.9213081,268.0804173,29.39856977,60.66118768,3.44E-15,0.226279817,-0.1297284,-0.089360136,2.31E-14,-2.391380224,1.934303093,3.075748337,
794,6.5707903,129.8788179,268.1374749,29.38895511,60.67409867,6.87E-16,0.226279817,-0.139343062,-0.102271135,,-2.517800598,-1.74531076,3.063564836,
795,6.58441,129.7783249,267.444174,29.36621558,60.51721868,1.37E-16,0.226279817,-0.162082597,0.054608864,,-1.748822803,-1.813616163,2.519441363,
796,6.587469,129.7547581,267.7242408,29.36088287,60.58059214,-1.832489014,0.226279817,-0.1674153,-0.008764602,,-1.618151453,-3.193341132,3.579922026,
797,6.599953,129.7556413,268.2106394,29.36108272,60.69065431,-2.002825928,0.226279817,-0.167215452,-0.118826774,,-2.991363775,6.55728151,7.20737109,
798,6.6160823,129.6446026,267.7644747,29.33595691,60.58969626,-2.944431152,0.226279817,-0.19234126,-0.017868719,,-2.885637943,2.556316377,3.855082328,
799,6.6190676,129.5126445,267.1768365,29.30609745,60.45672558,-3.363471191,0.226279817,-0.22220072,0.115101961,-2.885676744,-3.227186063,-3.659666507,4.879332826,
