frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
335,2.7732305,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,0,0,0,,,,
336,2.7755209,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-4.30E-13,2.20E-10,0,,,,
337,2.7893006,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.40E-13,2.75E-10,0,,,,0
338,2.7921011,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.65E-13,2.89E-10,0,-4.10E-11,2.11E-08,2.11E-08,0
339,2.8049857,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.72E-13,2.92E-10,0,-3.48E-12,1.90E-09,1.90E-09,0
340,2.8075884,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.72E-13,2.93E-10,0,-1.89E-12,1.11E-09,1.11E-09,0
341,2.8202755,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.72E-13,2.93E-10,0,-1.10E-13,1.26E-10,1.26E-10,0
342,2.8241678,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.72E-13,2.93E-10,0,0.00011612,7.31E-11,0.00011612,0
343,2.8366884,94.49998474,202.9999695,22.39708578,48.11225888,0,0.237006237,-5.72E-13,2.93E-10,0,0.000141777,6.51E-12,0.000141777,0
344,2.8390242,94.49999046,202.9999695,22.39708714,48.11225888,0,0.237006237,1.36E-06,2.93E-10,0,0.000161919,3.15E-12,0.000161919,0
345,2.8522385,94.49999762,202.9999695,22.39708883,48.11225888,0,0.237006237,3.05E-06,2.93E-10,0,0.000291937,2.27E-13,0.000291937,0
346,2.8699126,94.50000513,202.9999695,22.39709061,48.11225888,0,0.237006237,4.83E-06,2.93E-10,0,0.000299189,-4.37E-05,0.000302361,0
347,2.8726832,94.50001273,202.9999695,22.39709241,48.11225888,0,0.237006237,6.63E-06,2.93E-10,0,0.000188846,-0.000217638,0.000288148,0
348,2.8851016,94.50001463,202.9999809,22.39709286,48.11226159,0,0.237006237,7.08E-06,-2.71E-06,0,0.00016367,-0.000278568,0.000323091,0
349,2.8889996,94.5000151,202.9999952,22.39709298,48.11226498,0,0.237006237,7.20E-06,-6.10E-06,0,0.000143933,-0.000485876,0.000506747,0
350,2.900685,94.50001522,203.0000103,22.397093,48.11226854,0,0.237006237,7.22E-06,-9.66E-06,0,1.39E-05,-0.00050081,0.000501004,0
351,2.9041603,94.50001525,203.0000255,22.39709301,48.11227214,0,0.237006237,7.23E-06,-1.33E-05,0,6.73E-06,-0.000474674,0.000474722,0
352,2.9162214,94.50001526,203.0000293,22.39709301,48.11227304,0,0.237006237,7.23E-06,-1.42E-05,0,9.52E-07,-0.000301557,0.000301558,0
353,2.9187877,94.50001526,203.0000302,22.39709301,48.11227327,0,0.237006237,7.23E-06,-1.44E-05,0,4.72E-07,-0.00024169,0.000241691,0
354,2.932207,94.50001526,203.0000304,22.39709301,48.11227333,0,0.237006237,7.23E-06,-1.44E-05,0,6.73E-08,-3.44E-05,3.44E-05,0
355,2.934855,94.50001526,203.0000305,22.39709301,48.11227334,0,0.237006237,7.23E-06,-1.45E-05,0,3.82E-08,-1.96E-05,1.96E-05,0
356,2.9481878,94.50001526,203.0000305,22.39709301,48.11227334,0,0.237006237,7.23E-06,-1.45E-05,0,3.96E-09,-2.03E-06,2.03E-06,0
357,2.9506694,94.50001526,203.0000305,22.39709301,48.11227334,0,0.237006237,7.23E-06,-1.45E-05,0,2.33E-09,-1.19E-06,1.19E-06,0
358,2.9640874,94.50001526,203.0000305,22.39709301,48.11227335,0,0.237006237,7.23E-06,-1.45E-05,0,2.57E-10,-1.31E-07,1.31E-07,0
