frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
529,4.378694,113.5000153,274.9999396,26.19231121,63.46152452,0,0.230769231,3.60E-08,9.21E-06,0,1.64E-06,0.000420446,0.000420449,0
530,4.3915439,113.5000153,274.9999391,26.19231121,63.46152441,0,0.230769231,3.64E-08,9.32E-06,0,2.36E-07,6.05E-05,6.05E-05,0
531,4.3945162,113.5000153,274.999939,26.19231121,63.46152439,0,0.230769231,3.65E-08,9.34E-06,0,1.18E-07,3.03E-05,3.03E-05,0
532,4.4074289,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,1.47E-08,3.77E-06,3.77E-06,0
533,4.4107062,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,8.08E-09,2.07E-06,2.07E-06,0
534,4.4233464,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,8.78E-10,2.25E-07,2.25E-07,0
535,4.4263922,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,4.65E-10,1.19E-07,1.19E-07,0
536,4.4397527,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,5.73E-11,1.47E-08,1.47E-08,0
537,4.4428541,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,3.08E-11,7.92E-09,7.92E-09,0
538,4.455638,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,3.31E-12,8.91E-10,8.91E-10,0
539,4.4583916,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,1.71E-12,4.91E-10,4.91E-10,0
540,4.4714626,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,1.11E-13,5.97E-11,5.97E-11,0
541,4.4744425,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,-8.58E-05,3.35E-11,8.58E-05,0
542,4.4877523,113.5000153,274.999939,26.19231121,63.46152438,0,0.230769231,3.65E-08,9.35E-06,0,-0.000111969,3.06E-12,0.000111969,0
543,4.4908303,113.5000095,274.999939,26.19230989,63.46152438,0,0.230769231,-1.28E-06,9.35E-06,0,-0.000227023,1.43E-12,0.000227023,0
544,4.5034456,113.5000024,274.999939,26.19230824,63.46152438,0,0.230769231,-2.93E-06,9.35E-06,0,-0.000253464,-7.96E-05,0.000265679,0
545,4.5064583,113.4999949,274.999939,26.19230651,63.46152438,0,0.230769231,-4.67E-06,9.35E-06,0,-0.000278218,-0.000452395,0.000531099,0
546,4.5197238,113.4999873,274.9999619,26.19230476,63.46152966,0,0.230769231,-6.42E-06,4.07E-06,0,-0.000194218,-0.000566293,0.000598672,0
547,4.5232662,113.4999854,274.9999905,26.19230432,63.46153626,0,0.230769231,-6.86E-06,-2.53E-06,0,-0.000169807,-0.001016175,0.001030265,0
548,4.5354394,113.4999849,275.0000205,26.19230421,63.46154319,0,0.230769231,-6.97E-06,-9.46E-06,0,-5.49E-05,-0.001043378,0.001044819,0
549,4.538558,113.4999848,275.0000509,26.19230418,63.46155021,0,0.230769231,-7.00E-06,-1.65E-05,0,-2.84E-05,-0.000969097,0.000969514,0
550,4.5514517,113.4999848,275.0000585,26.19230417,63.46155196,0,0.230769231,-7.00E-06,-1.82E-05,0,-3.71E-06,-0.000603638,0.000603649,0
551,4.5678355,113.4999847,275.0000604,26.19230417,63.4615524,0,0.230769231,-7.01E-06,-1.87E-05,0,-1.91E-06,-0.000490178,0.000490182,0
552,4.5708371,113.4999847,275.0000609,26.19230417,63.46155251,0,0.230769231,-7.01E-06,-1.88E-05,0,-1.59E-07,-4.08E-05,4.08E-05,0
553,4.5833715,113.4999847,275.000061,26.19230417,63.46155254,0,0.230769231,-7.01E-06,-1.88E-05,0,-5.30E-08,-1.36E-05,1.36E-05,0
554,4.5863692,113.4999847,275.000061,26.19230417,63.46155254,0,0.230769231,-7.01E-06,-1.88E-05,0,-3.22E-08,-8.24E-06,8.24E-06,0
555,4.6007394,113.4999847,275.000061,26.19230417,63.46155255,0,0.230769231,-7.01E-06,-1.88E-05,0,-3.68E-09,-9.43E-07,9.43E-07,0
556,4.604457,113.4999847,275.000061,26.19230417,63.46155255,0,0.230769231,-7.01E-06,-1.88E-05,0,-1.98E-09,-5.08E-07,5.08E-07,0
557,4.6153738,113.4999847,275.000061,26.19230417,63.46155255,0,0.230769231,-7.01E-06,-1.88E-05,0,-1.98E-10,-5.07E-08,5.07E-08,0
558,4.6183736,113.4999847,275.000061,26.19230417,63.46155255,0,0.230769231,-7.01E-06,-1.88E-05,0,-1.06E-10,-2.70E-08,2.70E-08,0
