frame,t_s,x_px_filt,y_px_filt,mm_per_px,x_mm,y_mm,y_mm_origin,angle_deg_raw,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
152,0,375.0123968,727.6517088,0.123048177,0,0,0,87.77947711,76.0725473,24.64787387,-0.003126057,0.000152337,0.003129767
153,0.095038966,375.009742,727.6516792,0.123048177,-0.000326664,3.64008E-06,-3.64E-06,87.77093473,78.99884832,41.06598286,-0.003940644,0.000541452,0.003977668
154,0.190077932,375.0075679,727.6519442,0.123048177,-0.000594195,-2.8956E-05,2.90E-05,87.77497781,80.75756419,30.80466212,-0.004224623,0.00047875,0.004251663
155,0.285116898,375.0032659,727.6529634,0.123048177,-0.001123544,-0.000154377,0.000154377,87.77775137,87.78115294,24.64782848,-0.004323521,0.000311116,0.0043347
156,0.380155864,374.9993449,727.6531879,0.123048177,-0.001606015,-0.000182,0.000182,87.7924277,87.78312024,18.49264712,-0.004491943,0.000370864,0.004507227
157,0.47519483,374.9957,727.6529103,0.123048177,-0.002054515,-0.000147841,0.000147841,87.78563002,87.78506796,14.78539357,-0.004825079,-0.000159567,0.004827716
158,0.570233796,374.9923948,727.6531115,0.123048177,-0.002461212,-0.000172593,0.000172593,87.7848143,87.78645862,0.014828208,-0.004629671,-0.001479634,0.004860368
159,0.665272762,374.9889341,727.6513279,0.123048177,-0.002887047,4.68694E-05,-4.69E-05,87.78471641,87.78350677,0.012108307,-0.004491143,-0.00287353,0.005331748
160,0.760311728,374.9853867,727.6472493,0.123048177,-0.00332354,0.000548737,-0.000548737,87.78470467,87.78819923,0.008415036,-0.004148218,-0.004373345,0.006027757
161,0.855350694,374.9820007,727.6420908,0.123048177,-0.003740183,0.001183487,-0.001183487,87.77766847,87.78887404,-0.004554063,-0.003751125,-0.005504032,0.006660728
162,0.95038966,374.9796801,727.6360211,0.123048177,-0.004025727,0.00193035,-0.00193035,87.80909231,87.78906674,-0.718331125,-0.003213314,-0.00530259,0.006200229
163,1.045428626,374.9779085,727.6318557,0.123048177,-0.004243728,0.002442895,-0.002442895,87.78818837,87.78429455,-3.207799905,-0.002650902,-0.003563043,0.004441008
164,1.140467592,374.9765247,727.6308501,0.123048177,-0.004413997,0.002566633,-0.002566633,87.78567989,87.44215954,-7.594916595,0.082289822,0.192415221,0.209273104
165,1.235506558,374.9751493,727.6334893,0.123048177,-0.004583235,0.002241877,-0.002241877,87.76084372,86.2638693,-13.89431029,0.410435917,0.880285581,0.971267391
166,1.330545524,375.2997925,728.3851714,0.123048177,0.035363515,-0.090251231,0.090251231,86.06699339,84.17980894,-22.20288058,1.061122232,2.281137593,2.515863491
167,1.42558449,376.5647262,731.0355607,0.123048177,0.191011299,-0.416376807,0.416376807,81.91764113,81.18656233,-29.88115383,2.121122897,4.5687426,5.037119344
168,1.520623456,379.075814,736.4412897,0.123048177,0.499996071,-1.081541896,1.081541896,77.36788659,77.23360049,-33.39644691,3.680430742,7.849873747,8.669837847
169,1.615662422,383.1680043,745.2746943,0.123048177,1.003532637,-2.16847623,2.16847623,72.81944681,73.24278973,-31.81472872,5.600210749,11.77801379,13.04162449
170,1.710701388,389.1884575,757.9486026,0.123048177,1.744338426,-3.727977543,3.727977543,67.99603454,70.39405039,-25.05790287,7.525174617,15.77134617,17.4746563
171,1.805740354,396.9270223,773.8702115,0.123048177,2.696554709,-5.68710249,5.68710249,66.11293955,69.06161434,-12.62476776,9.209653368,19.43971845,21.51093603
172,1.90077932,405.6258969,791.9422914,0.123048177,3.766935371,-7.910838965,7.910838965,67.67394447,69.27917644,2.004209721,10.39804436,22.55041967,24.83225229
173,1.995818285,414.6422058,811.5147605,0.123048177,4.876375736,-10.3191956,10.3191956,70.70570634,71.23437612,1.470059333,10.81776439,24.87696406,27.127244
174,2.090857251,423.3237958,832.3612576,0.123048177,5.944629558,-12.88431907,12.88431907,73.90725727,74.19517982,-17.3060783,10.42441394,26.61834508,28.58679242
175,2.185896217,430.965149,854.0199546,0.123048177,6.884884135,-15.54938225,15.54938225,77.77203298,71.09261499,-54.33621829,9.369986793,28.00697708,29.53281933
176,2.280935183,437.1846494,876.6665332,0.123048177,7.65018232,-18.33600245,18.33600245,80.91695804,60.83785541,-109.9364487,7.808748797,29.16982648,30.19694247
177,2.375974149,441.811474,900.1013154,0.123048177,8.219504651,-21.21960967,21.21960967,52.16112029,43.45888643,-183.0675369,5.875194867,30.01495532,30.58456241
178,2.471013115,444.7985003,924.1645461,0.123048177,8.587052793,-24.18054633,24.18054633,19.43190846,18.9931441,-232.1311212,3.714249222,30.65055015,30.87477727
179,2.566052081,446.0129757,948.2748125,0.123048177,8.736491783,-27.14727066,27.14727066,-12.98758763,-12.79756724,-251.5586099,1.426401424,31.85874111,31.89065704
180,2.661091047,445.3090594,972.3880877,0.123048177,8.649876163,-30.11436521,30.11436521,-44.55667867,-39.21489366,-241.1653835,-0.865406163,33.49541041,33.5065881
181,2.756130013,442.6932119,999.7005307,0.123048177,8.328000902,-33.47511152,33.47511152,-78.03659866,-58.70149545,-201.5499815,-3.009255531,35.28757039,35.41564969
182,2.851168979,438.4693965,1029.455901,0.123048177,7.808268117,-37.13645552,37.13645552,-79.92551181,-71.14165694,-125.5502551,-4.880965195,37.18657529,37.50553564
183,2.946207945,433.1771768,1060.440202,0.123048177,7.157070123,-40.94901734,40.94901734,-78.00110047,-76.78236509,-53.46701684,-6.360604152,38.9662979,39.48201688
184,3.041246911,427.1633716,1091.88416,0.123048177,6.417082358,-44.81813898,44.81813898,-75.18839511,-72.45839934,-5.42074285,-6.496669806,35.91285035,36.49574686
