frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
1664,13.8019372,186.9363515,347.9333604,42.16868348,78.48602814,-9.09007686,0.22557776,0,0,-5.364595653,,,,
1665,13.8059121,186.9862966,347.9249752,42.17994997,78.48413663,-9.090238272,0.22557776,0.011266493,0.001891514,-7.075225274,,,,
1666,13.8182457,187.0377385,347.92574,42.19155413,78.48430913,-8.642663133,0.22557776,0.022870653,0.001719009,-8.871795778,,,,
1667,13.8228138,187.0816469,347.9288608,42.20145887,78.48501313,-8.553148105,0.22557776,0.032775391,0.00101501,-8.927066675,1.355101562,0.12677747,1.361019019,-126.1648388
1668,13.8340806,187.102031,347.9254983,42.20605707,78.48425461,-8.982852521,0.22557776,0.037373596,0.001773526,-8.938120855,0.790128532,0.041392223,0.79121199,-42.60301905
1669,13.8377061,187.1088436,347.9213389,42.20759385,78.48331634,-9.366431344,0.22557776,0.038910377,0.002711799,-9.089380763,0.591680156,0.052640821,0.594017224,-12.75512816
1670,13.8519944,187.1094481,347.9182391,42.20773022,78.4826171,-9.145509169,0.22557776,0.039046745,0.003411043,-9.268681817,-0.094033741,0.082210541,0.124903633,-1.289416979
1671,13.8670057,187.1060287,347.9154271,42.20695888,78.48198277,-9.398962674,0.22557776,0.038275399,0.004045367,-9.215020543,-0.369579015,0.01395634,0.369842437,-0.271822257
1672,13.8705384,187.0862911,347.9155252,42.20250651,78.4820049,-9.449653375,0.22557776,0.033823033,0.004023241,-9.055239216,-1.141014423,-0.296949116,1.179021922,12.87492942
1673,13.8829033,187.0331428,347.9305414,42.19051742,78.48539224,-8.714546153,0.22557776,0.021833945,0.000635901,-9.004458488,-1.383271673,-0.342428191,1.425025469,17.55554916
1674,13.8865892,186.9770433,347.9517134,42.17786264,78.49016817,-8.567524709,0.22557776,0.00917916,-0.004140026,-8.915950291,-2.19362798,-0.440760796,2.237470401,18.14792519
1675,13.8987768,186.9121151,347.9613552,42.16321628,78.49234313,-8.891605528,0.22557776,-0.005467194,-0.00631499,-8.78366247,-2.216705724,-0.467125105,2.26538962,9.196715189
1676,13.9028244,186.838491,347.969419,42.14660831,78.49416215,-8.956421691,0.22557776,-0.022075168,-0.008134009,-8.757204906,-2.845178314,-0.491551137,2.887327858,3.646308999
1677,13.9140071,186.7702917,347.9762644,42.13122407,78.49570631,-8.78821427,0.22557776,-0.03745941,-0.00967817,-8.751913393,-2.27894017,-0.243555557,2.291917888,-1.320117937
1678,13.917276,186.7107042,347.982004,42.11778245,78.49700105,-8.582258333,0.22557776,-0.050901027,-0.01097291,-8.829207142,-2.267450997,-0.309770189,2.288512966,-4.541418075
1679,13.9361398,186.6603535,347.9866662,42.10642446,78.49805273,-8.541067145,0.22557776,-0.062259019,-0.012024587,-8.844665891,-1.705005815,-0.253685901,1.723775324,-7.340556062
1680,13.9436273,186.6223714,348.0035788,42.09785654,78.50186783,-9.278074269,0.22557776,-0.070826938,-0.015839695,-8.883991772,-1.556336824,-0.212401256,1.570763701,-9.280985395
1681,13.949302,186.5898961,348.0078298,42.09053084,78.50282677,-9.03371544,0.22557776,-0.078152635,-0.016798635,-8.926319839,-0.700675823,-0.109934021,0.709247558,-1.426476846
1682,13.9539535,186.5768564,348.0064206,42.08758936,78.5025089,-8.984843674,0.22557776,-0.081094119,-0.016480759,-8.969248343,-0.449223254,-0.043029621,0.451279382,1.789484697
1683,13.9629418,186.5834841,348.0017883,42.08908443,78.50146394,-8.793898666,0.22557776,-0.079599045,-0.015435797,-8.828784971,-0.166888745,0.078553195,0.184451776,4.364397118
1684,13.9671571,186.5957268,347.996579,42.09184612,78.50028883,-8.755709665,0.22557776,-0.076837359,-0.014260694,-8.764458166,0.421552982,0.194133834,0.46410652,0.495914704
1685,13.9781199,186.608721,347.9917976,42.09477731,78.49921027,-8.575757412,0.22557776,-0.073906168,-0.013182132,-8.680895784,0.644473151,0.202269576,0.675469188,1.15820577
1686,13.9817717,186.6354528,347.9851778,42.10080741,78.49771698,-8.712081414,0.22557776,-0.067876065,-0.011688845,-8.778769489,1.34285509,0.327176513,1.38213757,-7.860633048
1687,13.994384,186.6624147,347.9790825,42.10688941,78.49634203,-8.567031761,0.22557776,-0.061794063,-0.010313889,-8.853402824,1.35742929,0.298956728,1.389960216,-11.74242747
1688,13.9979286,186.7198983,347.9674421,42.11985643,78.49371621,-9.283267192,0.22557776,-0.048827047,-0.007688075,-8.957850975,1.61274303,0.336202089,1.647413708,-15.95138675
1689,14.0162353,186.7789812,347.9562694,42.13318423,78.49119589,-9.128876339,0.22557776,-0.035499246,-0.005167755,-9.033799199,1.612263684,0.314157224,1.642586055,-9.369645146
1690,14.0240365,186.8323758,347.9464267,42.14522885,78.48897559,-9.097998168,0.22557776,-0.023454623,-0.002947451,-9.138510328,1.841061586,0.350279048,1.874087291,-7.204615005
1691,14.0303545,186.8785575,347.9380608,42.15564643,78.48708844,-9.091822534,0.22557776,-0.01303705,-0.001060304,-9.099924966,1.308314097,0.236994583,1.329606035,-2.79487817
1692,14.0357627,186.9175459,347.9311171,42.16444134,78.48552209,-9.090587407,0.22557776,-0.004242142,0.000506053,-9.073383431,1.450068015,0.256988359,1.472664342,-5.397900085
1693,14.0430717,186.9497692,347.9254673,42.17171019,78.48424761,-9.090340382,0.22557776,0.003026716,0.001780526,-9.127602712,1.222007762,0.21567088,1.240893589,-2.96046838
1694,14.0471717,186.9758838,347.921148,42.17760107,78.48327329,-8.996168662,0.22557776,0.008917588,0.002754853,-9.197974156,1.055927918,0.189301326,1.072762211,-7.100701144
1695,14.0585653,186.9962712,347.9172072,42.18220002,78.48238432,-9.369094572,0.22557776,0.013516542,0.003643818,-9.212048444,0.774959041,0.138398517,0.787220213,-7.086164361
1696,14.0628371,187.0117707,347.9140476,42.18569637,78.48167159,-9.443679754,0.22557776,0.017012894,0.004356551,-9.27439089,0.55949576,0.10151239,0.568630171,-3.590378043
1697,14.0745288,187.0232445,347.9122277,42.1882846,78.48126107,-9.160958851,0.22557776,0.01960112,0.004767072,-9.216162358,-0.076702205,-0.010664365,0.077440021,9.383609029
1698,14.0905012,187.0173811,347.91294,42.18696194,78.48142175,-9.40205261,0.22557776,0.018278467,0.004606386,-9.055467579,-0.332507069,-0.057442817,0.337432405,11.19913965
1699,14.0942992,186.9880146,347.9183824,42.1803375,78.48264943,-8.705026001,0.22557776,0.011654027,0.003378709,-8.874279551,-1.13611182,-0.204394646,1.154351436,24.66833446
1700,14.1059406,186.9428388,347.9264264,42.17014685,78.48446396,-8.565620679,0.22557776,0.00146337,0.001564175,-8.782983352,-1.321568133,-0.236141286,1.342499548,23.65655958
1701,14.1091122,186.8978534,347.9344112,42.15999915,78.48626516,-8.537739614,0.22557776,-0.008684326,-0.000237018,-8.615675039,-1.712297417,-0.306774938,1.73956124,21.63424351
1702,14.1218596,186.8579625,347.941397,42.15100065,78.487841,-8.704477854,0.22557776,-0.017682826,-0.001812865,-8.616676268,-1.475732914,-0.2618429,1.498782618,9.599484558
1703,14.1258013,186.8223779,347.947744,42.14297356,78.48927274,-8.565511049,0.22557776,-0.025709921,-0.003244603,-8.616876513,-1.594956126,-0.283601962,1.619973801,6.518259529
1704,14.1377594,186.7926192,347.9529699,42.13626065,78.4904516,-8.710032142,0.22557776,-0.032422829,-0.004423464,-8.765965635,-1.012105068,-0.230988823,1.03812933,-4.703084358
1705,14.1417016,186.7669033,347.9575952,42.13045971,78.49149496,-8.566621907,0.22557776,-0.038223763,-0.005466824,-8.795783459,-1.049311358,-0.256683455,1.080250305,-5.094613002
1706,14.1537523,186.7516623,347.9738806,42.1270217,78.49516859,-9.283185221,0.22557776,-0.041661777,-0.00914045,-8.836209914,-0.690760411,-0.188026929,0.715893897,-5.110772368
1707,14.1577231,186.7359617,347.9783182,42.12347998,78.49616961,-8.853566976,0.22557776,-0.045203493,-0.010141466,-8.844295206,-0.710056769,-0.167693743,0.729590164,5.712389431
1708,14.1700109,186.7226867,347.9794047,42.12048544,78.4964147,-8.767643327,0.22557776,-0.048198034,-0.010386557,-8.845912264,-0.447220493,-0.113802801,0.46147291,8.258212135
1709,14.1735819,186.7122726,347.9793559,42.11813626,78.49640369,-8.750458597,0.22557776,-0.050547219,-0.010375547,-8.697186603,-0.467063605,-0.046597099,0.469382255,11.42602403
1710,14.1860124,186.7036037,347.9790919,42.11618075,78.49634414,-8.574707198,0.22557776,-0.052502728,-0.010316,-8.63297858,-0.304885601,0.006401344,0.304952794,10.12355973
1711,14.1898015,186.697145,347.9785681,42.1147238,78.49622599,-8.539556918,0.22557776,-0.05395968,-0.010197852,-8.585674085,-0.290484818,0.021378055,0.291270408,8.962425687
1712,14.202099,186.6927265,347.977865,42.11372708,78.49606738,-8.532526862,0.22557776,-0.054956393,-0.010039239,-8.690799368,-0.098304505,0.037418855,0.105185296,-0.603799569
1713,14.2056402,186.6900311,347.9770026,42.11311907,78.49587283,-8.531120851,0.22557776,-0.055564405,-0.009844694,-8.711824424,-0.042072235,0.0536243,0.068158921,-10.45234335
1714,14.2177545,186.706306,347.9725298,42.11679032,78.49486387,-9.27608501,0.22557776,-0.051893158,-0.008835727,-8.786726457,0.086408812,0.05951245,0.104920038,-15.92590645
1715,14.2214759,186.7083491,347.971114,42.1172512,78.4945445,-8.679832481,0.22557776,-0.051432277,-0.008516366,-8.950755936,0.344122632,0.113799858,0.362451091,-16.3372716
1716,14.2336945,186.7223181,347.9678304,42.1204023,78.49380379,-8.914067082,0.22557776,-0.048281175,-0.007775653,-9.132610904,0.440862154,0.117402853,0.456226774,-17.58756961
1717,14.237124,186.7406763,347.9635076,42.12454349,78.49282866,-9.352674256,0.22557776,-0.044139988,-0.006800526,-9.168981898,0.588517762,0.148799556,0.607037448,-16.06245206
1718,14.2499492,186.7584151,347.9593599,42.12854497,78.49189303,-9.440395691,0.22557776,-0.040138511,-0.005864893,-9.325305169,0.659870517,0.150566804,0.676830453,-4.916614176
1719,14.2533939,186.7743168,347.9556908,42.13213203,78.49106537,-9.457939978,0.22557776,-0.036551446,-0.005037233,-9.320335692,0.702780474,0.154322566,0.719524738,4.503694006
