frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
0,0,210.8614655,357.5747986,0,0.142857143,210.533844,357.4019267,0,0,0,0,0,0,0,0,0,0
1,0.033121469,210.4341278,357.3556824,0,0.142857143,210.4791756,357.3811798,0,-0.007809775,0.002963838,-0.002963838,0,0,0,0,0,0
2,0.066242938,210.3059387,357.2752991,0,0.142857143,210.5421173,357.4095703,0,0.001181902,-0.001091948,0.001091948,0,0,0,0,0,0
3,0.099364407,210.3151703,357.3189392,0,0.142857143,210.6733124,357.3850037,0,0.019924055,0.002417573,-0.002417573,0,0,0,0,0,0
4,0.132485876,210.7938843,357.5231323,0,0.142857143,211.0197174,357.3932251,0,0.069410488,0.001243083,-0.001243083,0,0,0,0,0,0
5,0.165607345,211.5174408,357.4519653,0,0.142857143,211.4495361,357.4036987,0,0.130813163,-0.000253151,0.000253151,0,0,0,0,0,0
6,0.198728814,212.166153,357.3967896,0,0.142857143,211.8966888,357.4096863,0,0.194692121,-0.001108515,0.001108515,0,0,0,0,0,0
7,0.231850282,212.4550323,357.3276672,0,0.142857143,212.1677399,357.3937561,0,0.233413696,0.001167225,-0.001167225,0,0,0,0,0,0
8,0.264971751,212.5509338,357.348877,0,0.142857143,212.1748169,357.3943542,0,0.2344247,0.001081775,-0.001081775,0,0,0,0,0,0
9,0.29809322,212.1491394,357.4434814,0,0.142857143,211.9363342,357.3936523,0,0.200355748,0.001182048,-0.001182048,0,0,0,0,0,0
10,0.331214689,211.5528259,357.4549561,0,0.142857143,211.5794434,357.3991394,0,0.149371338,0.000398182,-0.000398182,0,0,0,0,0,0
11,0.364336158,210.9737396,357.39328,0,0.142857143,211.1784698,357.3963074,0,0.092089408,0.000802758,-0.000802758,0,0,0,0,0,0
12,0.397457627,210.670578,357.3551025,0,0.142857143,210.8912201,357.3699402,0,0.051053728,0.004569499,-0.004569499,0,0,0,0,0,0
13,0.430579096,210.5460663,357.3347168,0,0.142857143,210.8291229,357.3483765,0,0.042182704,0.00765003,-0.00765003,0,0,0,0,0,0
