frame,t_s,x_px,y_px,mm_per_px,x_mm,y_mm,orient_offset_deg,vx_mm_s,vy_mm_s,speed_mm_s
0,0.00000,138.480,80.532,0.169120,0.0000,0.0000,0.000,0.8478,4.4435,4.5237
1,0.09513,138.636,81.631,0.169120,0.0265,0.1858,-0.462,1.6556,7.5808,7.7595
2,0.19026,139.433,85.531,0.169120,0.1613,0.8454,-0.983,2.5153,10.9327,11.2183
3,0.28538,141.273,93.325,0.169120,0.4725,2.1635,-1.689,3.2937,14.4175,14.7889
4,0.38051,144.139,105.130,0.169120,0.9571,4.1600,-2.303,4.7594,20.7011,21.2412
5,0.47564,147.743,121.081,0.169120,1.5666,6.8575,-2.412,5.9708,25.7278,26.4115
6,0.57077,152.022,139.852,0.169120,2.2903,10.0321,-2.412,6.5927,30.5553,31.2584
7,0.66590,156.226,157.889,0.169120,3.0012,13.0826,-3.593,6.4054,33.9470,34.5460
8,0.76103,159.815,179.260,0.169120,3.6082,16.6968,0.431,5.7418,35.5936,36.0537
9,0.85615,162.154,200.605,0.169120,4.0037,20.3066,2.937,4.5215,32.6886,32.9998
10,0.95128,163.892,221.186,0.169120,4.2977,23.7873,4.284,3.1572,31.0714,31.2313
11,1.04641,164.739,231.787,0.169120,4.4409,25.5801,5.817,2.3512,29.3409,29.4350
12,1.14154,165.105,245.276,0.169120,4.5029,27.8614,10.747,1.7491,26.4723,26.5300
