frame,t_s,x_px,y_px,mm_per_px,x_mm,y_mm,orient_offset_deg,vx_mm_s,vy_mm_s,speed_mm_s
0,0.00000,123.358,113.049,0.169388,0.0000,0.0000,0.000,0.4785,0.9599,1.0726
1,0.09891,123.353,113.039,0.169388,-0.0009,-0.0017,0.000,1.2134,2.3669,2.6598
2,0.19783,123.917,114.170,0.169388,0.0947,0.1899,-2.262,1.8718,3.8962,4.3225
3,0.29674,125.483,117.195,0.169388,0.3601,0.7024,-7.054,2.6045,5.4919,6.0782
4,0.39565,127.730,122.150,0.169388,0.7406,1.5415,-12.367,4.1526,8.5729,9.5257
5,0.49457,130.962,129.084,0.169388,1.2881,2.7161,-17.408,5.6257,11.5778,12.8723
6,0.59348,135.477,138.069,0.169388,2.0529,4.2381,-22.411,6.6853,13.9372,15.4576
7,0.69239,140.342,147.974,0.169388,2.8769,5.9159,-23.836,7.4257,15.7770,17.4372
8,0.79130,145.003,157.888,0.169388,3.6664,7.5952,-21.851,7.6390,17.2592,18.8742
9,0.89022,149.411,168.214,0.169388,4.4131,9.3443,-18.430,7.0650,18.0790,19.4104
10,0.98913,153.266,179.476,0.169388,5.0661,11.2519,-15.096,6.1175,18.9092,19.8742
11,1.08804,156.105,190.855,0.169388,5.5470,13.1794,-11.664,4.9794,19.8812,20.4953
12,1.18696,158.204,203.183,0.169388,5.9025,15.2677,-8.692,3.7415,20.8565,21.1895
13,1.28587,159.541,215.935,0.169388,6.1290,17.4277,-5.885,2.3570,21.3367,21.4665
14,1.38478,160.335,229.109,0.169388,6.2635,19.6592,-3.112,0.7267,24.6926,24.7033
15,1.48370,160.148,241.773,0.169388,6.2318,21.8043,0.343,-0.8505,27.3215,27.3347
16,1.58261,158.227,262.950,0.169388,5.9064,25.3915,3.182,-2.2843,29.7026,29.7903
17,1.68152,155.720,282.954,0.169388,5.4818,28.7800,6.403,-3.7570,31.7819,32.0032
18,1.78043,152.872,302.658,0.169388,4.9993,32.1176,9.704,-5.0178,33.7846,34.1552
19,1.87935,149.365,321.903,0.169388,4.4054,35.3774,13.713,-4.7881,28.2181,28.6215
20,1.97826,145.497,340.414,0.169388,3.7502,38.5130,17.276,-4.4108,23.1310,23.5478
21,2.07717,144.247,345.338,0.169388,3.5383,39.3472,20.011,-4.2939,20.4780,20.9233
22,2.17609,142.842,350.490,0.169388,3.3004,40.2198,22.504,-3.7236,16.3186,16.7380
