frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
0,0.0,210.86146545410156,357.5747985839844,0.0,0.14285714285714285,210.53384399414062,357.4019266764323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.033121468926553675,210.4341278076172,357.3556823730469,0.0,0.14285714285714285,210.47917556762695,357.3811798095703,0,-0.007809775216241377,-0.002963838123143603,0.0,0.0,0.0,0.0,0.0,0
2,0.06624293785310735,210.30593872070312,357.2752990722656,0.0,0.14285714285714285,210.5421173095703,357.4095703125,0,0.0011819022042374172,0.0010919480096731604,0.0,0.0,0.0,0.0,0.0,0
3,0.09936440677966102,210.31517028808594,357.3189392089844,0.0,0.14285714285714285,210.67331237792968,357.3850036621094,0,0.019924054827004767,-0.0024175734747018396,0.0,0.0,0.0,0.0,0.0,0
4,0.1324858757062147,210.79388427734375,357.52313232421875,0.0,0.14285714285714285,211.01971740722655,357.3932250976562,0,0.06941048758370272,-0.0012430826823006669,0.0,0.0,0.0,0.0,0.0,0
5,0.16560734463276836,211.51744079589844,357.45196533203125,0.0,0.14285714285714285,211.4495361328125,357.40369873046876,0,0.13081316266741183,0.00025315057663277685,0.0,0.0,0.0,0.0,0.0,0
6,0.19872881355932204,212.16615295410156,357.39678955078125,0.0,0.14285714285714285,211.89668884277344,357.40968627929686,0,0.19469212123325974,0.0011085146949341151,0.0,0.0,0.0,0.0,0.0,0
7,0.23185028248587572,212.4550323486328,357.3276672363281,0.0,0.14285714285714285,212.16773986816406,357.3937561035156,0,0.2334136962890625,-0.0011672247023852833,0.0,0.0,0.0,0.0,0.0,0
8,0.2649717514124294,212.55093383789062,357.348876953125,0.0,0.14285714285714285,212.17481689453126,357.39435424804685,0,0.23442470005580418,-0.0010817754836409676,0.0,0.0,0.0,0.0,0.0,0
9,0.29809322033898306,212.14913940429688,357.4434814453125,0.0,0.14285714285714285,211.93633422851562,357.39365234375,0,0.2003557477678548,-0.0011820475260506669,0.0,0.0,0.0,0.0,0.0,0
10,0.3312146892655367,211.55282592773438,357.4549560546875,0.0,0.14285714285714285,211.579443359375,357.3991394042969,0,0.1493713378906243,-0.0003981817336367044,0.0,0.0,0.0,0.0,0.0,0
11,0.3643361581920904,210.97373962402344,357.3932800292969,0.0,0.14285714285714285,211.1784698486328,357.39630737304685,0,0.09208940778459507,-0.0008027576264950653,0.0,0.0,0.0,0.0,0.0,0
12,0.3974576271186441,210.6705780029297,357.3551025390625,0.0,0.14285714285714285,210.89122009277344,357.36994018554685,0,0.05105372837611455,-0.004569498697925667,0.0,0.0,0.0,0.0,0.0,0
13,0.43057909604519773,210.5460662841797,357.334716796875,0.0,0.14285714285714285,210.8291229248047,357.34837646484374,0,0.04218270438057914,-0.007650030226940885,0.0,0.0,0.0,0.0,0.0,0
14,0.46370056497175144,210.712890625,357.3116455078125,0.0,0.14285714285714285,211.02574462890624,357.298828125,0,0.07027151925223052,-0.014728364490331103,0.0,0.0,0.0,0.0,0.0,0
15,0.4968220338983051,211.24234008789062,357.3471374511719,0.0,0.14285714285714285,211.35489501953126,357.2459289550781,0,0.11729300362723194,-0.022285388764885283,0.0,0.0,0.0,0.0,0.0,0
16,0.5299435028248588,211.95684814453125,357.1455383300781,0.0,0.14285714285714285,211.74007263183594,357.1929870605469,0,0.17231837681361384,-0.029848516555063043,0.0,0.0,0.0,0.0,0.0,0
17,0.5630649717514125,212.3163299560547,357.0906066894531,0.0,0.14285714285714285,212.10018920898438,357.13950805664064,0,0.2237636021205347,-0.037488374255957524,0.0,0.0,0.0,0.0,0.0,0
18,0.5961864406779661,212.47195434570312,357.07000732421875,0.0,0.14285714285714285,212.2804748535156,357.10328369140626,0,0.24951869419642492,-0.04266328357515192,0.0,0.0,0.0,0.0,0.0,0
19,0.6293079096045198,212.5134735107422,357.04425048828125,0.0,0.14285714285714285,212.20081176757813,357.1269470214844,0,0.2381382533482146,-0.03928280784970184,0.0,0.0,0.0,0.0,0.0,0
20,0.6624293785310734,212.14376831054688,357.166015625,0.0,0.14285714285714285,211.9825439453125,357.1722839355469,0,0.2069571358816944,-0.03280610584077692,0.0,0.0,0.0,0.0,0.0,0
21,0.6955508474576272,211.55853271484375,357.26385498046875,0.0,0.14285714285714285,211.69705200195312,357.22398071289064,0,0.16617257254464235,-0.025420851934526922,0.0,0.0,0.0,0.0,0.0,0
22,0.7286723163841808,211.22499084472656,357.3172912597656,0.0,0.14285714285714285,211.4223602294922,357.2817138671875,0,0.12693089076450903,-0.017173258463550667,0.0,0.0,0.0,0.0,2.4153518123667395,0
23,0.7617937853107345,211.04449462890625,357.3284912109375,0.0,0.14285714285714285,211.32939758300782,357.2651123046875,0,0.11365051269531179,-0.019544910249265968,0.0,0.0,0.0,0.0,7.2460554371002175,0
24,0.7949152542372881,211.1400146484375,357.3329162597656,0.0,0.14285714285714285,211.49819946289062,357.21937255859376,0,0.1377650669642847,-0.02607915969122132,0.4,0.0,0.0,0.0,12.076759061833695,0
25,0.8280367231638418,211.678955078125,357.0830078125,0.0,0.14285714285714285,211.87514953613282,357.1169006347656,0,0.19161507742745698,-0.04071800595238528,1.2,0.0,0.0,0.0,16.907462686567158,0
