frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
0,0.0,449.8485412597656,306.7889099121094,0.0,0.23255813953488372,450.01929728190106,306.8100077311198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.03333333333333333,450.0572204589844,306.8857727050781,0.0,0.23255813953488372,450.05653381347656,306.8373565673828,0,0.008659658505933976,0.006360194479768211,0.0,0.0,0.0,0.0,0.0,0
2,0.06666666666666667,450.1521301269531,306.7553405761719,0.0,0.23255813953488372,450.1128845214844,306.8273071289062,0,0.021764474321699367,0.004023115764283602,0.0,0.0,0.0,0.0,0.0,0
3,0.1,450.1682434082031,306.9194030761719,0.0,0.23255813953488372,450.2410034179687,306.84674682617185,0,0.05155956652735938,0.008543975593497066,0.0,0.0,0.0,0.0,0.0,0
4,0.13333333333333333,450.3382873535156,306.787109375,0.0,0.23255813953488372,450.34820556640625,306.8494018554687,0,0.07649029872213475,0.00916142426719091,0.0,0.0,0.0,0.0,0.0,0
5,0.16666666666666666,450.4891357421875,306.8861083984375,0.0,0.23255813953488372,450.43125,306.8825317382813,0,0.09580295769742975,0.016866048177078596,0.0,0.0,0.0,0.0,0.0,0
6,0.2,450.5932312011719,306.8990478515625,0.0,0.23255813953488372,450.49982299804685,306.8937744140625,0,0.1117501665455336,0.019480623940154373,0.0,0.0,0.0,0.0,0.0,0
7,0.23333333333333334,450.5673522949219,306.9209899902344,0.0,0.23255813953488372,450.53058471679685,306.9565185546875,0,0.118904054626924,0.03407228455061784,0.0,0.0,0.0,0.0,0.0,0
8,0.26666666666666666,450.5111083984375,306.9756164550781,0.0,0.23255813953488372,450.51304321289064,307.01157836914064,0,0.11482463511386243,0.046876892562977446,0.0,0.0,0.0,0.0,0.0,0
9,0.3,450.4920959472656,307.100830078125,0.0,0.23255813953488372,450.4795715332031,307.0479431152344,0,0.10704052355862359,0.05533381025919937,0.0,0.0,0.0,0.0,0.0,0
10,0.3333333333333333,450.40142822265625,307.1614074707031,0.0,0.23255813953488372,450.4509521484375,307.06446533203126,0,0.10038485268289321,0.05917618625846899,0.0,0.0,0.0,0.0,0.0,0
11,0.36666666666666664,450.4258728027344,307.08087158203125,0.0,0.23255813953488372,450.421728515625,307.07054443359374,0,0.09358865900556168,0.06058993080789321,0.0,0.0,0.0,0.0,0.0,0
12,0.4,450.42425537109375,307.00360107421875,0.0,0.23255813953488372,450.395458984375,307.0616516113281,0,0.08747946569161513,0.05852183260657284,0.0,0.0,0.0,0.0,0.0,0
13,0.43333333333333335,450.364990234375,307.0060119628906,0.0,0.23255813953488372,450.4042724609375,307.04722290039064,0,0.08952911140382014,0.05516631843507014,0.0,0.0,0.0,0.0,0.0,0
14,0.4666666666666667,450.3607482910156,307.0563659667969,0.0,0.23255813953488372,450.41920166015626,307.05262451171876,0,0.0930010181988905,0.056422507116039355,0.0,0.0,0.0,0.0,0.0,0
15,0.5,450.44549560546875,307.0892639160156,0.0,0.23255813953488372,450.43137817382814,307.0618469238281,0,0.0958327655644382,0.05856725411820207,0.0,0.0,0.0,0.0,0.0,0
16,0.5333333333333333,450.5005187988281,307.1078796386719,0.0,0.23255813953488372,450.4403503417969,307.05125122070314,0,0.09791931625484551,0.05610313711240167,0.0,0.0,0.0,0.0,0.0,0
17,0.5666666666666667,450.4851379394531,307.0497131347656,0.0,0.23255813953488372,450.43218994140625,307.0406066894531,0,0.09602154872213475,0.05362766472867975,0.0,0.0,0.0,0.0,0.0,0
18,0.6,450.40985107421875,306.9530334472656,0.0,0.23255813953488372,450.4021850585938,307.0365844726563,0,0.08904366899830052,0.05269226547359551,0.0,0.0,0.0,0.0,0.0,0
19,0.6333333333333333,450.3199462890625,307.0031433105469,0.0,0.23255813953488372,450.3374755859375,307.05146484375,0,0.0739949544270786,0.05615281689074436,0.0,0.0,0.0,0.0,0.0,0
20,0.6666666666666666,450.29547119140625,307.06915283203125,0.0,0.23255813953488372,450.3387817382812,307.08399658203126,0,0.0742987107860813,0.06371833742126398,0.0,0.0,0.0,0.0,0.0,0
21,0.7,450.1769714355469,307.1822814941406,0.0,0.23255813953488372,450.37965698242186,307.16741333007815,0,0.08380458151646053,0.08311758115310397,0.0,0.0,0.0,0.0,0.0,0
22,0.7333333333333333,450.4916687011719,307.2123718261719,0.0,0.23255813953488372,450.52936401367185,307.2493896484375,0,0.11862017017925552,0.10218184123667129,0.0,0.0,0.0,0.0,0.0,0
23,0.7666666666666667,450.6142272949219,307.3701171875,0.0,0.23255813953488372,450.7176452636719,307.3199951171875,0,0.16240650738856743,0.11860171769015437,0.0,0.0,0.0,0.0,0.0,0
24,0.8,451.0684814453125,307.41302490234375,0.0,0.23255813953488372,450.9001159667969,307.3264099121094,0,0.2048415546269382,0.12009353046269666,0.0,0.0,0.0,0.0,0.0,0
25,0.8333333333333334,451.23687744140625,307.42218017578125,0.0,0.23255813953488372,450.9521423339844,307.2911437988281,0,0.2169407097868259,0.11189210876936784,0.0,0.0,0.0,0.0,0.0,0
26,0.8666666666666667,451.0893249511719,307.21435546875,0.0,0.23255813953488372,450.943701171875,307.19267578125,0,0.21497764883113746,0.08899256979771053,0.0,0.0,0.0,0.0,0.0,0
27,0.9,450.7518005371094,307.0360412597656,0.0,0.23255813953488372,450.81340942382815,307.0874816894531,0,0.1846772423086236,0.06452882751936784,0.0,0.0,0.0,0.0,0.0,0
28,0.9333333333333333,450.572021484375,306.8777770996094,0.0,0.23255813953488372,450.62218017578124,306.9857666015625,0,0.1402053241581882,0.040874155916895916,0.0,0.0,0.0,0.0,0.0,0
29,0.9666666666666667,450.4170227050781,306.8870544433594,0.0,0.23255813953488372,450.430126953125,306.9273315429688,0,0.09554178400557589,0.027284607406727446,0.0,0.0,0.0,0.0,0.0,0
30,1.0,450.2807312011719,306.9136047363281,0.0,0.23255813953488372,450.32725830078124,306.8997497558594,0,0.07161884160004206,0.020870238311530898,0.0,0.0,0.0,0.0,0.0,0
31,1.0333333333333334,450.1290588378906,306.92218017578125,0.0,0.23255813953488372,450.2770629882813,306.90867919921874,0,0.05994551311167129,0.022946853046263982,0.0,0.0,0.0,0.0,0.0,0
32,1.0666666666666667,450.2374572753906,306.89813232421875,0.0,0.23255813953488372,450.2689270019531,306.91917724609374,0,0.05805342326792129,0.025388259296263982,0.0,0.0,0.0,0.0,0.0,0
33,1.1,450.321044921875,306.92242431640625,0.0,0.23255813953488372,450.29444580078126,306.9264831542969,0,0.06398802764655898,0.02708730771558976,0.0,0.0,0.0,0.0,0.0,0
34,1.1333333333333333,450.3763427734375,306.9395446777344,0.0,0.23255813953488372,450.35552368164065,306.93214721679686,0,0.07819218598595512,0.028404531552808976,0.0,0.0,0.0,0.0,0.0,0
35,1.1666666666666667,450.4083251953125,306.95013427734375,0.0,0.23255813953488372,450.3871643066406,306.9313537597656,0,0.08555047086966283,0.02822000666181168,0.0,0.0,0.0,0.0,0.0,0
