frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,angle_deg_raw,mm_per_px,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
0,0,417.5398865,393.7536621,0,0,-3.489318848,0.138888889,-3.447715759,0.719215393,0.051561991,2.138074239,2.138695886
1,0.033333333,417.5811768,394.741333,0.005734762,0.137176514,-3.447387695,0.138888889,-3.408096313,0.80329895,0.292290582,0.460179647,0.545159694
2,0.066666667,417.5646362,394.7799377,0.003437466,0.142538283,-3.406440735,0.138888889,-3.399768066,0.62310791,0.185235341,-0.685151418,0.709749672
3,0.1,417.7503357,394.0849915,0.029229058,0.046017965,-3.289237976,0.138888889,-3.367385864,0.381976318,0.174865723,-1.49983724,1.509996611
4,0.133333333,417.7177124,393.0959167,0.024698046,-0.091353522,-3.366455078,0.138888889,-3.364634705,-0.112893677,0.213088989,-2.934036255,2.941764039
5,0.166666667,417.7497253,391.9538574,0.029144287,-0.249972873,-3.327407837,0.138888889,-3.38405304,-0.210845947,0.183639526,-3.126754761,3.132142846
6,0.2,417.8368835,391.2204895,0.041249593,-0.351829529,-3.433631897,0.138888889,-3.426911926,-0.499978638,0.099868774,-2.333602905,2.335738918
7,0.233333333,417.7850037,391.027832,0.034044054,-0.378587511,-3.50353241,0.138888889,-3.434909058,-0.483856201,0.151087443,-0.648549398,0.665915713
8,0.266666667,417.8701782,391.284668,0.045873854,-0.342915853,-3.50353241,0.138888889,-3.450715637,-0.250836182,0.122248332,1.127649943,1.134257047
9,0.3,417.8990173,392.3176575,0.049879286,-0.199445089,-3.406440735,0.138888889,-3.445277405,0.122827148,0.043792725,2.184117635,2.184556625
10,0.333333333,417.8964233,393.3070374,0.049519009,-0.062031216,-3.406440735,0.138888889,-3.42585907,0.170809937,0.07232666,2.395706177,2.396797703
11,0.366666667,417.8894348,393.8414307,0.048548381,0.012190077,-3.406440735,0.138888889,-3.406440735,0.23302002,-0.000940959,1.794865926,1.794866173
12,0.4,417.8717957,393.9026794,0.046098497,0.020696852,-3.406440735,0.138888889,-3.406440735,0.200390625,-0.035832723,0.271606445,0.273959934
13,0.433333333,417.8690491,393.4385071,0.045717027,-0.043771532,-3.406440735,0.138888889,-3.411878967,0.083880615,-0.089848836,-1.168060303,1.171510855
14,0.466666667,417.8560181,392.6435852,0.043907166,-0.154177348,-3.406440735,0.138888889,-3.411878967,-0.032629395,-0.127868652,-2.028554281,2.032580346
15,0.5,417.7886047,391.905365,0.034544203,-0.256707933,-3.433631897,0.138888889,-3.411878967,-0.032629395,-0.12125651,-2.035878499,2.039486309
16,0.533333333,417.7359924,391.4071655,0.027236938,-0.325902303,-3.406440735,0.138888889,-3.411878967,-0.083880615,-0.104980469,-1.330973307,1.335107053
17,0.566666667,417.7262878,391.4596252,0.025889079,-0.318616231,-3.406440735,0.138888889,-3.411878967,-0.133016968,-0.055923462,-0.001424154,0.055941593
18,0.6,417.7430725,391.8413391,0.028220283,-0.265600416,-3.406440735,0.138888889,-3.42585907,-0.18215332,0.054957072,1.101837158,1.103206872
19,0.633333333,417.7889099,392.6418762,0.034586589,-0.154414707,-3.406440735,0.138888889,-3.434048462,-0.18215332,0.115356445,1.781183879,1.784915437
20,0.666666667,417.8545532,393.2275696,0.043703715,-0.073068407,-3.50353241,0.138888889,-3.442237854,-0.214782715,0.149815877,1.701100667,1.707685064
21,0.7,417.8744202,393.5445862,0.046463013,-0.029038323,-3.447387695,0.138888889,-3.442237854,-0.1309021,0.117746989,1.00016276,1.007069958
22,0.733333333,417.9060669,393.500946,0.050858392,-0.035099453,-3.447387695,0.138888889,-3.447676086,-0.149139404,0.063323975,-0.072097778,0.095958405
23,0.766666667,417.8843689,393.0415344,0.047844781,-0.098906623,-3.406440735,0.138888889,-3.447676086,-0.210617065,0.031840007,-1.014633179,1.015132638
24,0.8,417.8648987,392.5553589,0.045140584,-0.166431003,-3.433631897,0.138888889,-3.458905029,-0.370367432,0.034001668,-1.426849365,1.427254436
25,0.833333333,417.8927612,392.0100098,0.049010383,-0.242173937,-3.50353241,0.138888889,-3.477340698,-0.337738037,0.024617513,-1.227874756,1.228121508
26,0.866666667,417.9152222,391.8323669,0.052129957,-0.266846551,-3.50353241,0.138888889,-3.503965759,-0.253857422,0.081075033,-0.467325846,0.474306449
27,0.9,417.9356079,392.0274963,0.05496131,-0.239745246,-3.53956604,0.138888889,-3.503965759,-0.119110107,0.085576375,0.362879435,0.372833476
28,0.933333333,417.9816589,392.4807434,0.061357286,-0.176794264,-3.53956604,0.138888889,-3.489985657,0.10211792,0.052286784,1.04850769,1.049810595
29,0.966666667,417.9675903,392.9908142,0.059403314,-0.105951097,-3.433631897,0.138888889,-3.478756714,0.421618652,0.015335083,1.295801799,1.295892536
30,1,417.9555054,393.268219,0.057724847,-0.067422655,-3.433631897,0.138888889,-3.460321045,0.454248047,-0.027516683,0.909398397,0.909814603
31,1.033333333,417.9336243,393.3873291,0.054685805,-0.050879584,-3.447387695,0.138888889,-3.433695984,0.402996826,-0.083567301,0.259017944,0.272165004
32,1.066666667,417.9025879,393.1187744,0.050375197,-0.088178847,-3.447387695,0.138888889,-3.428257751,0.384759521,-0.073521932,-0.456110636,0.461998254
33,1.1,417.8813782,392.7915649,0.047429403,-0.133624607,-3.406440735,0.138888889,-3.422819519,0.32328186,-0.062281291,-0.841649373,0.843950607
34,1.133333333,417.879364,392.4434814,0.047149658,-0.181969537,-3.406440735,0.138888889,-3.414630127,0.047021484,-0.04041036,-0.980606079,0.981438373
35,1.166666667,417.8807678,392.2582397,0.047344632,-0.20769755,-3.406440735,0.138888889,-3.406440735,-0.10211792,-0.01566569,-0.584259033,0.584469017
36,1.2,417.8851318,392.2106018,0.047950745,-0.214313931,-3.406440735,0.138888889,-3.42585907,-0.167376709,0.029169718,0.069096883,0.075001678
37,1.233333333,417.8837891,392.4176636,0.047764248,-0.185555352,-3.406440735,0.138888889,-3.445277405,-0.216513062,0.046691895,0.578536987,0.580418107
38,1.266666667,417.9163818,392.8744812,0.052291022,-0.122108459,-3.50353241,0.138888889,-3.450715637,-0.314785767,0.036849976,0.876617432,0.877391613
39,1.3,417.9353943,393.1377258,0.054931641,-0.085546705,-3.50353241,0.138888889,-3.450715637,-0.1309021,0.017166138,0.938491821,0.938648803
40,1.333333333,417.9249878,393.3101807,0.053486294,-0.061594645,-3.433631897,0.138888889,-3.458905029,0.10211792,-0.001042684,0.414861043,0.414862354
41,1.366666667,417.9057312,393.336792,0.050811768,-0.057898627,-3.406440735,0.138888889,-3.447676086,0.167376709,-0.041402181,-0.226033529,0.229794031
42,1.4,417.8825378,392.9154968,0.047590468,-0.116411845,-3.447387695,0.138888889,-3.428257751,0.167376709,-0.060653687,-0.599950155,0.60300834
43,1.433333333,417.8666992,392.603241,0.045390659,-0.159780714,-3.447387695,0.138888889,-3.422819519,0.216513062,-0.053075155,-0.824228923,0.825936008
44,1.466666667,417.8626099,392.4177856,0.044822693,-0.185538398,-3.406440735,0.138888889,-3.422819519,0.149139404,-0.034586589,-0.84042867,0.841140049
45,1.5,417.8612976,392.321106,0.044640435,-0.198966132,-3.406440735,0.138888889,-3.422819519,-0.016506958,-0.003433228,-0.248718262,0.248741956
46,1.533333333,417.8642273,392.3282776,0.045047336,-0.197970072,-3.406440735,0.138888889,-3.422819519,-0.049136353,0.01953125,0.203475952,0.204411186
47,1.566666667,417.878418,392.6170349,0.047018263,-0.157864889,-3.447387695,0.138888889,-3.431008911,-0.098272705,0.028152466,0.462061564,0.462918406
48,1.6,417.8901367,392.8474121,0.048645867,-0.125868056,-3.447387695,0.138888889,-3.431008911,-0.098272705,0.035247803,0.593821208,0.5948664
49,1.633333333,417.8963928,392.9722595,0.049514771,-0.108528137,-3.447387695,0.138888889,-3.439198303,-0.098272705,0.045293172,0.58169047,0.583451176
